Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Hisuian Samurott,8,0.04,55.74,34,26,1,61,0.4262295081967213,0.0163934426229508,0.5666666666666667,0.4333333333333333
Charizard LZ Box,12,0.07,56.67,34,26,0,60,0.4333333333333333,0.0,0.5666666666666667,0.4333333333333333
Banette Gardevoir,63,0.35,54.3,164,126,12,302,0.4172185430463576,0.0397350993377483,0.5655172413793104,0.4344827586206896
Lost Box Charizard,264,1.48,54.92,715,550,37,1302,0.4224270353302611,0.0284178187403993,0.5652173913043478,0.4347826086956521
Arceus Aerodactyl,20,0.11,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.4408602150537634
Dialga LZ,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Pidgeot Control,526,2.96,51.1,1279,1046,178,2503,0.4178985217738714,0.0711146624051138,0.5501075268817204,0.4498924731182795
Arceus Armarouge,168,0.94,53.78,434,361,12,807,0.4473358116480793,0.0148698884758364,0.5459119496855346,0.4540880503144654
Arceus Giratina,672,3.78,52.38,1717,1459,102,3278,0.4450884685784014,0.0311165344722391,0.5406171284634761,0.4593828715365239
Snorlax Stall,392,2.2,49.8,978,837,149,1964,0.4261710794297352,0.0758655804480651,0.5388429752066116,0.4611570247933884
Giratina LZ Box,881,4.95,52.06,2159,1874,114,4147,0.4518929346515553,0.0274897516276826,0.5353334986362509,0.4646665013637491
Entei Iron Valiant,7,0.04,52.5,21,19,0,40,0.475,0.0,0.525,0.475
Gardevoir,771,4.33,50.16,1825,1665,148,3638,0.4576690489279824,0.0406816932380428,0.5229226361031518,0.4770773638968481
Arceus Vulpix,233,1.31,51.2,577,528,22,1127,0.4685004436557231,0.0195208518189884,0.5221719457013575,0.4778280542986425
Raging Bolt LZ Box,76,0.43,50.71,178,165,8,351,0.4700854700854701,0.0227920227920227,0.5189504373177842,0.4810495626822157
Lost Zone Box,739,4.15,50.33,1694,1577,95,3366,0.4685086155674391,0.0282234105763517,0.5178844390094772,0.4821155609905228
Lugia Archeops,1059,5.95,50.26,2534,2391,117,5042,0.4742165807219357,0.0232050773502578,0.514517766497462,0.485482233502538
Charizard Pidgeot,2602,14.62,49.55,6147,5849,410,12406,0.4714654199580848,0.0330485249073029,0.5124208069356452,0.4875791930643547
Espathra,11,0.06,47.73,21,20,3,44,0.4545454545454545,0.0681818181818181,0.5121951219512195,0.4878048780487805
