Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,2,0.08,72.73,8,3,0,11,0.2727272727272727,0.0,0.7272727272727273,0.2727272727272727
Blastoise,3,0.12,61.54,8,5,0,13,0.38461538461538464,0.0,0.6153846153846154,0.38461538461538464
Espathra,3,0.12,61.11,11,7,0,18,0.3888888888888889,0.0,0.6111111111111112,0.3888888888888889
Palkia,6,0.23,58.82,20,14,0,34,0.4117647058823529,0.0,0.5882352941176471,0.4117647058823529
Dragapult LZ Box,52,2.02,56.23,149,112,4,265,0.4226415094339623,0.01509433962264151,0.5708812260536399,0.42911877394636017
Charizard Greninja,9,0.35,53.7,29,22,3,54,0.4074074074074074,0.05555555555555555,0.5686274509803921,0.43137254901960786
Turbo Roaring Moon,6,0.23,56.41,22,17,0,39,0.4358974358974359,0.0,0.5641025641025641,0.4358974358974359
Goodra LZ Box,8,0.31,54.55,18,14,1,33,0.42424242424242425,0.030303030303030304,0.5625,0.4375
Arceus Giratina,16,0.62,54.17,39,31,2,72,0.4305555555555556,0.027777777777777776,0.5571428571428572,0.44285714285714284
Iron Thorns,32,1.24,53.62,74,61,3,138,0.4420289855072464,0.021739130434782608,0.5481481481481482,0.45185185185185184
Dragapult Charizard,59,2.29,52.88,165,137,10,312,0.4391025641025641,0.03205128205128205,0.5463576158940397,0.45364238410596025
Sinistcha Ogerpon,18,0.7,53.68,51,43,1,95,0.45263157894736844,0.010526315789473684,0.5425531914893617,0.4574468085106383
Future Thorns,24,0.93,52.46,64,54,4,122,0.4426229508196721,0.03278688524590164,0.5423728813559322,0.4576271186440678
Lost Box Charizard,24,0.93,52.53,52,44,3,99,0.4444444444444444,0.030303030303030304,0.5416666666666666,0.4583333333333333
Gardevoir,197,7.65,51.93,497,424,36,957,0.4430512016718913,0.03761755485893417,0.5396308360477742,0.4603691639522258
Ting-Lu,2,0.08,50.0,7,6,1,14,0.42857142857142855,0.07142857142857142,0.5384615384615384,0.46153846153846156
Lugia Archeops,258,10.02,52.52,667,584,19,1270,0.45984251968503936,0.014960629921259842,0.5331734612310152,0.46682653876898483
Snorlax Stall,112,4.35,49.64,275,242,37,554,0.4368231046931408,0.06678700361010831,0.5319148936170213,0.46808510638297873
Lost Zone Box,93,3.61,52.04,217,191,9,417,0.4580335731414868,0.02158273381294964,0.5318627450980392,0.4681372549019608
Gouging Fire,19,0.74,53.16,42,37,0,79,0.46835443037974683,0.0,0.5316455696202531,0.46835443037974683
Regidrago Box,50,1.94,51.87,125,113,3,241,0.46887966804979253,0.012448132780082987,0.5252100840336135,0.47478991596638653
Ogerpon,10,0.39,51.16,22,20,1,43,0.46511627906976744,0.023255813953488372,0.5238095238095238,0.47619047619047616
Raging Bolt Ogerpon,372,14.44,50.89,916,847,37,1800,0.47055555555555556,0.020555555555555556,0.5195689166193987,0.48043108338060125
Pidgeot Control,57,2.21,50.0,131,123,8,262,0.46946564885496184,0.030534351145038167,0.515748031496063,0.484251968503937
Great Tusk Mill,10,0.39,48.84,21,20,2,43,0.46511627906976744,0.046511627906976744,0.5121951219512195,0.4878048780487805
Gholdengo,33,1.28,49.66,72,69,4,145,0.47586206896551725,0.027586206896551724,0.5106382978723404,0.48936170212765956
Arceus Aerodactyl,8,0.31,51.02,25,24,0,49,0.4897959183673469,0.0,0.5102040816326531,0.4897959183673469
Iron Valiant,1,0.04,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Raging Bolt Palkia,1,0.04,50.0,1,1,0,2,0.5,0.0,0.5,0.5
Clefairy,1,0.04,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Roaring Moon,10,0.39,48.84,21,22,0,43,0.5116279069767442,0.0,0.4883720930232558,0.5116279069767442
Giratina LZ Box,67,2.6,47.12,139,149,7,295,0.5050847457627119,0.023728813559322035,0.4826388888888889,0.5173611111111112
Dragapult,245,9.51,46.56,487,532,27,1046,0.5086042065009561,0.02581261950286807,0.47791952894995093,0.5220804710500491
Miraidon,80,3.11,47.2,160,176,3,339,0.5191740412979351,0.008849557522123894,0.47619047619047616,0.5238095238095238
Raging Bolt LZ Box,5,0.19,43.48,10,11,2,23,0.4782608695652174,0.08695652173913043,0.47619047619047616,0.5238095238095238
Dialga Metang,59,2.29,46.18,127,141,7,275,0.5127272727272727,0.025454545454545455,0.47388059701492535,0.5261194029850746
Luxray,11,0.43,47.27,26,29,0,55,0.5272727272727272,0.0,0.4727272727272727,0.5272727272727272
