Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Lost Box Charizard,310,1.58,55.12,839,640,43,1522,0.4204993429697766,0.028252299605781867,0.5672751859364435,0.43272481406355645
Banette Gardevoir,69,0.35,54.22,180,138,14,332,0.41566265060240964,0.04216867469879518,0.5660377358490566,0.4339622641509434
Arceus Aerodactyl,20,0.1,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.44086021505376344
Dialga LZ,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Hisuian Samurott,9,0.05,54.41,37,30,1,68,0.4411764705882353,0.014705882352941176,0.5522388059701493,0.44776119402985076
Pidgeot Control,578,2.94,50.7,1381,1151,192,2724,0.4225403817914831,0.07048458149779736,0.5454186413902053,0.45458135860979465
Snorlax Stall,412,2.09,50.22,1042,875,158,2075,0.42168674698795183,0.07614457831325301,0.5435576421491914,0.45644235785080856
Arceus Giratina,734,3.73,52.1,1851,1582,120,3553,0.4452575288488601,0.03377427526034337,0.5391785610253422,0.4608214389746577
Arceus Armarouge,194,0.99,52.86,489,421,15,925,0.45513513513513515,0.016216216216216217,0.5373626373626373,0.46263736263736266
Giratina LZ Box,951,4.83,51.86,2314,2023,125,4462,0.4533841326759301,0.028014343343792023,0.5335485358542772,0.46645146414572286
Gouging Fire,141,0.72,51.9,342,301,16,659,0.456752655538695,0.024279210925644917,0.5318818040435459,0.4681181959564541
Arceus Vulpix,262,1.33,51.95,680,601,28,1309,0.45912910618792974,0.0213903743315508,0.5308352849336456,0.46916471506635443
Entei Iron Valiant,8,0.04,52.27,23,21,0,44,0.4772727272727273,0.0,0.5227272727272727,0.4772727272727273
Lost Zone Box,809,4.11,50.37,1862,1718,117,3697,0.4647011090073032,0.03164728157965918,0.5201117318435754,0.4798882681564246
Espathra,13,0.07,49.06,26,24,3,53,0.4528301886792453,0.05660377358490566,0.52,0.48
Gardevoir,895,4.55,49.59,2076,1929,181,4186,0.4608217869087434,0.04323936932632585,0.5183520599250936,0.48164794007490636
Lugia Archeops,1182,6.01,50.5,2825,2631,138,5594,0.47032534858777264,0.02466928852341795,0.5177785923753666,0.48222140762463345
Raging Bolt LZ Box,81,0.41,50.27,185,175,8,368,0.47554347826086957,0.021739130434782608,0.5138888888888888,0.4861111111111111
Charizard Pidgeot,2883,14.66,49.57,6805,6453,469,13727,0.4700954323595833,0.034166241713411524,0.5132750037713079,0.4867249962286921
Arceus,172,0.87,49.93,379,362,18,759,0.4769433465085639,0.023715415019762844,0.5114709851551957,0.4885290148448043
Miraidon Regieleki,62,0.32,49.83,143,139,5,287,0.4843205574912892,0.017421602787456445,0.5070921985815603,0.4929078014184397
Charizard LZ Box,16,0.08,50.67,38,37,0,75,0.49333333333333335,0.0,0.5066666666666667,0.49333333333333335
Roaring Moon Dudunsparce,649,3.3,49.08,1439,1414,79,2932,0.48226466575716237,0.02694406548431105,0.5043813529617946,0.4956186470382054
Future Hands,1692,8.6,49.55,3887,3835,123,7845,0.4888463989802422,0.015678776290630976,0.5033670033670034,0.49663299663299665
Goodra LZ Box,86,0.44,49.29,209,208,7,424,0.49056603773584906,0.01650943396226415,0.5011990407673861,0.4988009592326139
Chien-Pao Baxcalibur,1624,8.26,48.73,3779,3761,215,7755,0.48497743391360415,0.027724049000644745,0.5011936339522547,0.49880636604774536
Gholdengo,425,2.16,47.93,1008,1011,84,2103,0.48074179743223966,0.039942938659058486,0.49925705794947994,0.5007429420505201
Snorlax Pidgeot,73,0.37,45.45,145,146,28,319,0.45768025078369906,0.0877742946708464,0.49828178694158076,0.5017182130584192
Dialga Metang,485,2.47,48.66,1051,1072,37,2160,0.4962962962962963,0.01712962962962963,0.4950541686292982,0.5049458313707018
Ting-Lu,67,0.34,48.22,149,152,8,309,0.4919093851132686,0.025889967637540454,0.4950166112956811,0.5049833887043189
Roaring Moon,122,0.62,48.17,276,285,12,573,0.4973821989528796,0.020942408376963352,0.4919786096256685,0.5080213903743316
Ancient Box,871,4.43,47.83,1935,2016,95,4046,0.4982698961937716,0.02347998022738507,0.489749430523918,0.510250569476082
Raging Bolt Sandy Shocks,235,1.19,48.17,500,523,15,1038,0.5038535645472062,0.014450867052023121,0.4887585532746823,0.5112414467253177
Turbo Roaring Moon,126,0.64,47.45,261,279,10,550,0.5072727272727273,0.01818181818181818,0.48333333333333334,0.5166666666666667
Arceus Goodra,67,0.34,47.4,137,147,5,289,0.5086505190311419,0.01730103806228374,0.4823943661971831,0.5176056338028169
