Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,80,0.36,53.93,206,157,19,382,0.4109947643979058,0.049738219895287955,0.5674931129476584,0.4325068870523416
Lost Box Charizard,357,1.62,54.74,947,735,48,1730,0.42485549132947975,0.027745664739884393,0.5630202140309156,0.43697978596908443
Arceus Aerodactyl,20,0.09,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.44086021505376344
Snorlax Stall,483,2.19,50.37,1212,1008,186,2406,0.41895261845386533,0.0773067331670823,0.5459459459459459,0.4540540540540541
Pidgeot Control,705,3.19,50.62,1669,1390,238,3297,0.421595389748256,0.07218683651804671,0.5456031382804838,0.45439686171951615
Hisuian Samurott,10,0.05,53.52,38,32,1,71,0.4507042253521127,0.014084507042253521,0.5428571428571428,0.45714285714285713
Entei Iron Valiant,9,0.04,54.17,26,22,0,48,0.4583333333333333,0.0,0.5416666666666666,0.4583333333333333
Arceus Armarouge,216,0.98,53.02,544,464,18,1026,0.4522417153996101,0.017543859649122806,0.5396825396825397,0.4603174603174603
Arceus Giratina,790,3.57,51.99,1969,1687,131,3787,0.4454713493530499,0.03459202534988117,0.5385667396061269,0.4614332603938731
Gouging Fire,156,0.71,51.85,378,333,18,729,0.4567901234567901,0.024691358024691357,0.5316455696202531,0.46835443037974683
Giratina LZ Box,1055,4.77,51.31,2498,2231,139,4868,0.45829909613804437,0.02855382087099425,0.528230069782195,0.47176993021780506
Arceus Vulpix,283,1.28,51.64,726,651,29,1406,0.46301564722617355,0.020625889046941678,0.5272331154684096,0.47276688453159044
Lost Zone Box,931,4.21,50.91,2146,1936,133,4215,0.45931198102016607,0.03155397390272835,0.5257226849583537,0.4742773150416463
Lugia Archeops,1321,5.98,50.72,3152,2910,153,6215,0.4682220434432824,0.024617860016090103,0.5199604091059057,0.48003959089409437
Espathra,16,0.07,48.53,33,31,4,68,0.45588235294117646,0.058823529411764705,0.515625,0.484375
Arceus,193,0.87,50.18,430,404,23,857,0.47141190198366395,0.026837806301050177,0.5155875299760192,0.4844124700239808
Gardevoir,1042,4.72,49.13,2364,2241,207,4812,0.46571072319201995,0.043017456359102244,0.5133550488599349,0.4866449511400652
Miraidon Regieleki,74,0.33,50.43,174,165,6,345,0.4782608695652174,0.017391304347826087,0.5132743362831859,0.48672566371681414
Charizard Pidgeot,3186,14.42,49.29,7388,7044,558,14990,0.46991327551701134,0.03722481654436291,0.5119179600886918,0.4880820399113082
Snorlax Pidgeot,85,0.38,46.58,177,171,32,380,0.45,0.08421052631578947,0.5086206896551724,0.49137931034482757
Roaring Moon,136,0.62,49.62,329,319,15,663,0.48114630467571645,0.02262443438914027,0.5077160493827161,0.49228395061728397
Ting-Lu,81,0.37,49.46,184,180,8,372,0.4838709677419355,0.021505376344086023,0.5054945054945055,0.4945054945054945
Gholdengo,472,2.14,48.51,1136,1117,89,2342,0.47694278394534584,0.038001707941929974,0.5042166000887706,0.4957833999112295
Raging Bolt LZ Box,92,0.42,49.39,203,200,8,411,0.48661800486618007,0.019464720194647202,0.5037220843672456,0.49627791563275436
Future Hands,1829,8.28,49.47,4178,4124,143,8445,0.48833629366489045,0.016933096506808763,0.503252228378704,0.4967477716212961
Roaring Moon Dudunsparce,702,3.18,48.82,1549,1536,88,3173,0.4840844626536401,0.027734005672864798,0.5021069692058346,0.4978930307941653
Chien-Pao Baxcalibur,1804,8.16,48.63,4170,4150,255,8575,0.4839650145772595,0.029737609329446066,0.5012019230769231,0.4987980769230769
