Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,68,0.35,54.74,179,135,13,327,0.41284403669724773,0.039755351681957186,0.5700636942675159,0.4299363057324841
Lost Box Charizard,298,1.55,54.87,805,620,42,1467,0.4226312201772324,0.028629856850715747,0.5649122807017544,0.43508771929824563
Arceus Aerodactyl,20,0.1,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.44086021505376344
Dialga LZ,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Hisuian Samurott,9,0.05,54.41,37,30,1,68,0.4411764705882353,0.014705882352941176,0.5522388059701493,0.44776119402985076
Pidgeot Control,568,2.95,50.67,1355,1128,191,2674,0.4218399401645475,0.07142857142857142,0.5457108336689489,0.45428916633105115
Snorlax Stall,407,2.11,50.17,1033,868,158,2059,0.42156386595434675,0.07673627974745022,0.5433982114676486,0.4566017885323514
Arceus Giratina,718,3.73,52.07,1810,1546,120,3476,0.44476409666283084,0.03452243958573072,0.5393325387365911,0.4606674612634088
Arceus Armarouge,186,0.97,52.59,467,406,15,888,0.4572072072072072,0.016891891891891893,0.5349369988545246,0.4650630011454754
Giratina LZ Box,940,4.88,51.91,2296,2003,124,4423,0.4528600497399955,0.028035270178611803,0.5340776924866248,0.4659223075133752
Arceus Vulpix,256,1.33,51.85,660,585,28,1273,0.4595443833464258,0.02199528672427337,0.5301204819277109,0.46987951807228917
Gouging Fire,133,0.69,51.45,320,286,16,622,0.45980707395498394,0.02572347266881029,0.528052805280528,0.47194719471947194
Entei Iron Valiant,8,0.04,52.27,23,21,0,44,0.4772727272727273,0.0,0.5227272727272727,0.4772727272727273
Espathra,13,0.07,49.06,26,24,3,53,0.4528301886792453,0.05660377358490566,0.52,0.48
Gardevoir,878,4.56,49.64,2047,1897,180,4124,0.45999030067895247,0.04364694471387003,0.5190162271805274,0.48098377281947263
Lost Zone Box,796,4.13,50.16,1830,1701,117,3648,0.4662828947368421,0.032072368421052634,0.5182667799490229,0.4817332200509771
Lugia Archeops,1147,5.95,50.46,2754,2568,136,5458,0.4705020153902528,0.02491755221692928,0.5174746335963923,0.48252536640360766
Charizard LZ Box,15,0.08,51.35,38,36,0,74,0.4864864864864865,0.0,0.5135135135135135,0.4864864864864865
Charizard Pidgeot,2829,14.69,49.56,6682,6335,467,13484,0.46981607831504,0.03463363986947493,0.5133287239763387,0.4866712760236614
Raging Bolt LZ Box,78,0.4,50.14,179,170,8,357,0.47619047619047616,0.022408963585434174,0.5128939828080229,0.4871060171919771
Arceus,168,0.87,50.0,371,354,17,742,0.477088948787062,0.022911051212938006,0.5117241379310344,0.4882758620689655
Miraidon Regieleki,60,0.31,50.18,142,136,5,283,0.48056537102473496,0.0176678445229682,0.5107913669064749,0.4892086330935252
Future Hands,1676,8.7,49.59,3856,3796,123,7775,0.4882315112540193,0.01581993569131833,0.5039205436487193,0.4960794563512807
Roaring Moon Dudunsparce,635,3.3,48.96,1406,1387,79,2872,0.4829387186629526,0.027506963788300837,0.5034013605442177,0.4965986394557823
Chien-Pao Baxcalibur,1600,8.31,48.83,3740,3705,214,7659,0.4837446141793968,0.027940984462723594,0.5023505708529215,0.4976494291470786
Gholdengo,421,2.19,47.84,997,1003,84,2084,0.4812859884836852,0.04030710172744722,0.4985,0.5015
Snorlax Pidgeot,72,0.37,45.34,141,142,28,311,0.4565916398713826,0.09003215434083602,0.49823321554770317,0.5017667844522968
Goodra LZ Box,83,0.43,48.89,198,200,7,405,0.49382716049382713,0.01728395061728395,0.49748743718592964,0.5025125628140703
Dialga Metang,443,2.3,48.77,969,983,35,1987,0.49471565173628584,0.017614494212380472,0.4964139344262295,0.5035860655737705
Ting-Lu,63,0.33,48.28,140,143,7,290,0.49310344827586206,0.02413793103448276,0.49469964664310956,0.5053003533568905
Roaring Moon,120,0.62,48.31,272,279,12,563,0.4955595026642984,0.021314387211367674,0.49364791288566245,0.5063520871143375
Ancient Box,851,4.42,47.86,1897,1974,93,3964,0.4979818365287588,0.023461150353178608,0.49005424954792043,0.5099457504520796
Arceus Goodra,65,0.34,47.89,136,143,5,284,0.5035211267605634,0.017605633802816902,0.4874551971326165,0.5125448028673835
Raging Bolt Sandy Shocks,230,1.19,47.98,486,512,15,1013,0.5054294175715696,0.014807502467917079,0.48697394789579157,0.5130260521042084
Turbo Roaring Moon,126,0.65,47.45,261,279,10,550,0.5072727272727273,0.01818181818181818,0.48333333333333334,0.5166666666666667
Espathra Xatu,325,1.69,46.19,721,781,59,1561,0.5003203074951954,0.03779628443305574,0.4800266311584554,0.5199733688415447
Tyranitar,4,0.02,47.62,10,11,0,21,0.5238095238095238,0.0,0.47619047619047616,0.5238095238095238
Rotom,30,0.16,45.27,67,75,6,148,0.5067567567567568,0.04054054054054054,0.47183098591549294,0.528169014084507
Future Box,195,1.01,46.32,390,446,6,842,0.5296912114014252,0.007125890736342043,0.4665071770334928,0.5334928229665071
Garchomp,30,0.16,45.76,54,62,2,118,0.5254237288135594,0.01694915254237288,0.46551724137931033,0.5344827586206896
Hisuian Zoroark,98,0.51,45.11,166,191,11,368,0.5190217391304348,0.029891304347826088,0.4649859943977591,0.5350140056022409
Klawf Electrode,8,0.04,44.83,13,15,1,29,0.5172413793103449,0.034482758620689655,0.4642857142857143,0.5357142857142857
Charizard,387,2.01,44.83,823,955,58,1836,0.5201525054466231,0.03159041394335512,0.4628796400449944,0.5371203599550056
Arceus Regidrago,54,0.28,45.14,116,135,6,257,0.5252918287937743,0.023346303501945526,0.46215139442231074,0.5378486055776892
Spidops Venomoth,38,0.2,43.71,73,89,5,167,0.5329341317365269,0.029940119760479042,0.4506172839506173,0.5493827160493827
Hisuian Goodra,4,0.02,44.44,8,10,0,18,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556
Miraidon,52,0.27,43.9,108,135,3,246,0.5487804878048781,0.012195121951219513,0.4444444444444444,0.5555555555555556
Incineroar,64,0.33,42.57,129,168,6,303,0.5544554455445545,0.019801980198019802,0.43434343434343436,0.5656565656565656
Palkia,85,0.44,42.17,148,194,9,351,0.5527065527065527,0.02564102564102564,0.4327485380116959,0.5672514619883041
Arceus Aggron,2,0.01,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Hisuian Lilligant,1,0.01,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Pikachu,1,0.01,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Tinkaton,65,0.34,42.19,127,170,4,301,0.5647840531561462,0.013289036544850499,0.4276094276094276,0.5723905723905723
Great Tusk Mill,399,2.07,41.95,719,967,28,1714,0.5641773628938156,0.01633605600933489,0.4264531435349941,0.5735468564650059
Charizard Arceus,13,0.07,42.22,19,26,0,45,0.5777777777777777,0.0,0.4222222222222222,0.5777777777777777
Scovillain,53,0.28,41.05,94,129,6,229,0.5633187772925764,0.026200873362445413,0.42152466367713004,0.57847533632287
Iron Valiant,8,0.04,41.94,13,18,0,31,0.5806451612903226,0.0,0.41935483870967744,0.5806451612903226
Regidrago Box,64,0.33,41.09,83,115,4,202,0.5693069306930693,0.019801980198019802,0.41919191919191917,0.5808080808080808
Banette,51,0.26,41.08,76,106,3,185,0.572972972972973,0.016216216216216217,0.4175824175824176,0.5824175824175825
Lucario,8,0.04,40.74,11,16,0,27,0.5925925925925926,0.0,0.4074074074074074,0.5925925925925926
Regis,8,0.04,40.54,15,22,0,37,0.5945945945945946,0.0,0.40540540540540543,0.5945945945945946
Walking Wake,10,0.05,40.48,17,25,0,42,0.5952380952380952,0.0,0.40476190476190477,0.5952380952380952
Spidops,15,0.08,40.0,24,36,0,60,0.6,0.0,0.4,0.6
Giratina,5,0.03,40.0,10,15,0,25,0.6,0.0,0.4,0.6
Alolan Vulpix,1,0.01,33.33,2,3,1,6,0.5,0.16666666666666666,0.4,0.6
Meowscarada,74,0.38,38.96,127,192,7,326,0.588957055214724,0.02147239263803681,0.3981191222570533,0.6018808777429467
Aegislash,16,0.08,35.44,28,45,6,79,0.569620253164557,0.0759493670886076,0.3835616438356164,0.6164383561643836
Other,686,3.56,36.99,1032,1660,98,2790,0.5949820788530465,0.03512544802867384,0.3833580980683507,0.6166419019316494
Alakazam,63,0.33,37.0,101,164,8,273,0.6007326007326007,0.029304029304029304,0.38113207547169814,0.6188679245283019
Gothitelle,2,0.01,37.5,3,5,0,8,0.625,0.0,0.375,0.625
Torterra,40,0.21,36.52,65,109,4,178,0.6123595505617978,0.02247191011235955,0.3735632183908046,0.6264367816091954
Dialga,4,0.02,35.0,7,12,1,20,0.6,0.05,0.3684210526315789,0.631578947368421
Iron Valiant Xatu,8,0.04,36.67,11,19,0,30,0.6333333333333333,0.0,0.36666666666666664,0.6333333333333333
Entei,2,0.01,36.36,4,7,0,11,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364
