Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,68,0.36,54.74,179,135,13,327,0.41284403669724773,0.039755351681957186,0.5700636942675159,0.4299363057324841
Lost Box Charizard,291,1.54,54.91,788,606,41,1435,0.42229965156794425,0.02857142857142857,0.5652797704447633,0.4347202295552367
Arceus Aerodactyl,20,0.11,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.44086021505376344
Dialga LZ,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Hisuian Samurott,9,0.05,54.41,37,30,1,68,0.4411764705882353,0.014705882352941176,0.5522388059701493,0.44776119402985076
Pidgeot Control,562,2.98,50.63,1336,1112,191,2639,0.4213717317165593,0.07237589996210686,0.545751633986928,0.4542483660130719
Snorlax Stall,400,2.12,49.9,1003,853,154,2010,0.4243781094527363,0.07661691542288557,0.5404094827586207,0.45959051724137934
Arceus Giratina,711,3.77,52.14,1793,1527,119,3439,0.44402442570514683,0.03460308229136377,0.5400602409638554,0.4599397590361446
Charizard LZ Box,13,0.07,53.85,35,30,0,65,0.46153846153846156,0.0,0.5384615384615384,0.46153846153846156
Arceus Armarouge,182,0.97,52.88,459,394,15,868,0.4539170506912442,0.01728110599078341,0.5381008206330598,0.4618991793669402
Giratina LZ Box,929,4.93,51.97,2273,1978,123,4374,0.452217649748514,0.028120713305898493,0.5346977181839567,0.4653022818160433
Espathra,12,0.06,50.0,24,21,3,48,0.4375,0.0625,0.5333333333333333,0.4666666666666667
Arceus Vulpix,256,1.36,51.85,660,585,28,1273,0.4595443833464258,0.02199528672427337,0.5301204819277109,0.46987951807228917
Entei Iron Valiant,8,0.04,52.27,23,21,0,44,0.4772727272727273,0.0,0.5227272727272727,0.4772727272727273
Gardevoir,847,4.49,49.7,1974,1822,176,3972,0.45871097683786505,0.044310171198388724,0.5200210748155953,0.47997892518440466
Lugia Archeops,1116,5.92,50.46,2684,2499,136,5319,0.4698251551043429,0.025568715924045873,0.517846806868609,0.4821531931313911
Lost Zone Box,782,4.15,50.1,1789,1669,113,3571,0.4673760851302156,0.03164379725567068,0.5173510699826489,0.4826489300173511
Gouging Fire,125,0.66,50.26,291,275,13,579,0.4749568221070812,0.022452504317789293,0.5141342756183745,0.48586572438162545
Charizard Pidgeot,2775,14.72,49.56,6557,6213,460,13230,0.4696145124716553,0.03476946334089191,0.513469068128426,0.486530931871574
Raging Bolt LZ Box,78,0.41,50.14,179,170,8,357,0.47619047619047616,0.022408963585434174,0.5128939828080229,0.4871060171919771
