Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Snorlax Pidgeot,34,0.15,54.36,106,63,26,195,0.3230769230769231,0.13333333333333333,0.6272189349112426,0.3727810650887574
Raging Bolt Palkia,3,0.01,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855
Raging Bolt Sandy Shocks,4,0.02,56.25,9,7,0,16,0.4375,0.0,0.5625,0.4375
Snorlax Stall,750,3.21,50.52,1788,1477,274,3539,0.4173495337666007,0.07742300084769708,0.5476263399693722,0.45237366003062784
Giratina LZ Box,375,1.61,52.99,914,774,37,1725,0.44869565217391305,0.021449275362318842,0.5414691943127962,0.4585308056872038
Banette Gardevoir,59,0.25,51.46,141,121,12,274,0.4416058394160584,0.043795620437956206,0.5381679389312977,0.4618320610687023
Giratina,6,0.03,53.57,15,13,0,28,0.4642857142857143,0.0,0.5357142857142857,0.4642857142857143
Entei Iron Valiant,25,0.11,51.49,69,60,5,134,0.44776119402985076,0.03731343283582089,0.5348837209302325,0.46511627906976744
Ancient Box,677,2.9,51.19,1629,1457,96,3182,0.45788812067881834,0.03016970458830924,0.5278677900194426,0.4721322099805574
Gardevoir,2862,12.27,49.44,6668,6026,793,13487,0.44680062282197675,0.05879736042114629,0.5252875374192532,0.4747124625807468
Arceus Giratina,48,0.21,51.66,109,99,3,211,0.46919431279620855,0.014218009478672985,0.5240384615384616,0.47596153846153844
Scizor,5,0.02,52.38,11,10,0,21,0.47619047619047616,0.0,0.5238095238095238,0.47619047619047616
Lugia Archeops,1848,7.92,51.11,4427,4056,179,8662,0.46825213576541214,0.02066497344724082,0.521867263939644,0.478132736060356
Goodra LZ Box,60,0.26,50.58,130,120,7,257,0.4669260700389105,0.027237354085603113,0.52,0.48
Pidgeot Control,434,1.86,48.9,952,879,116,1947,0.4514637904468413,0.05957883923985619,0.5199344620425996,0.4800655379574003
Lost Zone Box,1418,6.08,50.46,3295,3056,179,6530,0.46799387442572743,0.027411944869831548,0.5188159344985042,0.48118406550149584
Regidrago Box,1240,5.31,50.88,2932,2723,108,5763,0.47249696338712477,0.018740239458615304,0.5184792219274977,0.4815207780725022
Dragapult LZ Box,491,2.1,50.21,1172,1091,71,2334,0.46743787489288774,0.030419880034275922,0.5178965974370305,0.4821034025629695
Charizard Greninja,22,0.09,48.62,53,51,5,109,0.46788990825688076,0.045871559633027525,0.5096153846153846,0.49038461538461536
Raging Bolt Ogerpon,2134,9.15,49.83,4904,4741,197,9842,0.4817110343426133,0.02001625685836212,0.5084499740798342,0.4915500259201659
Dragapult Charizard,398,1.71,48.84,951,923,73,1947,0.47406266050333845,0.03749357986646122,0.5074706510138741,0.49252934898612594
Turbo Roaring Moon,301,1.29,50.0,663,646,17,1326,0.48717948717948717,0.01282051282051282,0.5064935064935064,0.4935064935064935
Lost Box Charizard,375,1.61,48.78,841,822,61,1724,0.4767981438515081,0.03538283062645012,0.5057125676488274,0.49428743235117256
Future Thorns,155,0.66,49.61,316,310,11,637,0.48665620094191525,0.01726844583987441,0.5047923322683706,0.4952076677316294
Palkia,49,0.21,49.55,110,108,4,222,0.4864864864864865,0.018018018018018018,0.5045871559633027,0.4954128440366973
Gouging Fire,107,0.46,50.0,218,215,3,436,0.49311926605504586,0.006880733944954129,0.5034642032332564,0.49653579676674364
Miraidon,767,3.29,49.46,1680,1659,58,3397,0.4883720930232558,0.017073888725345893,0.5031446540880503,0.4968553459119497
Gholdengo,449,1.92,49.3,1027,1017,39,2083,0.48823811809889583,0.01872299567930869,0.5024461839530333,0.49755381604696675
Iron Thorns,295,1.26,49.16,673,668,28,1369,0.48794740686632576,0.020452885317750184,0.5018642803877703,0.4981357196122297
Magnezone,1,0.0,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Charizard Arceus,2,0.01,50.0,3,3,0,6,0.5,0.0,0.5,0.5
Espathra,5,0.02,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Dragapult,1248,5.35,48.42,2728,2743,163,5634,0.4868654597089102,0.02893148739794107,0.4986291354414184,0.5013708645585816
Toedscruel,82,0.35,48.7,168,169,8,345,0.48985507246376814,0.02318840579710145,0.49851632047477745,0.5014836795252225
Iron Valiant,37,0.16,48.72,76,77,3,156,0.4935897435897436,0.019230769230769232,0.49673202614379086,0.5032679738562091
Charizard Pidgeot,1208,5.18,47.89,2653,2712,175,5540,0.48953068592057764,0.0315884476534296,0.4945013979496738,0.5054986020503262
Garchomp,22,0.09,46.59,41,43,4,88,0.48863636363636365,0.045454545454545456,0.4880952380952381,0.5119047619047619
Dialga Metang,274,1.17,47.03,586,637,23,1246,0.5112359550561798,0.018459069020866775,0.47914963205233035,0.5208503679476697
Ogerpon,33,0.14,46.72,64,71,2,137,0.5182481751824818,0.014598540145985401,0.4740740740740741,0.5259259259259259
Arceus Armarouge,69,0.3,45.91,129,144,8,281,0.5124555160142349,0.028469750889679714,0.4725274725274725,0.5274725274725275
Roaring Moon,105,0.45,46.51,213,241,4,458,0.5262008733624454,0.008733624454148471,0.46916299559471364,0.5308370044052864
Sinistcha Ogerpon,76,0.33,46.5,166,188,3,357,0.5266106442577031,0.008403361344537815,0.4689265536723164,0.5310734463276836
Future Hands,338,1.45,45.7,680,777,31,1488,0.5221774193548387,0.020833333333333332,0.4667124227865477,0.5332875772134523
Klawf Electrode,19,0.08,45.65,42,48,2,92,0.5217391304347826,0.021739130434782608,0.4666666666666667,0.5333333333333333
Chien-Pao Baxcalibur,801,3.43,45.53,1614,1855,76,3545,0.5232722143864598,0.021438645980253877,0.46526376477371,0.53473623522629
Arceus Aerodactyl,20,0.09,45.54,46,53,2,101,0.5247524752475248,0.019801980198019802,0.46464646464646464,0.5353535353535354
Roaring Moon Dudunsparce,77,0.33,44.98,148,172,9,329,0.5227963525835866,0.02735562310030395,0.4625,0.5375
Ting-Lu,16,0.07,45.0,36,42,2,80,0.525,0.025,0.46153846153846156,0.5384615384615384
Arceus Aggron,3,0.01,46.15,6,7,0,13,0.5384615384615384,0.0,0.46153846153846156,0.5384615384615384
Arceus Goodra,10,0.04,45.83,22,26,0,48,0.5416666666666666,0.0,0.4583333333333333,0.5416666666666666
Luxray,87,0.37,44.95,169,201,6,376,0.5345744680851063,0.015957446808510637,0.45675675675675675,0.5432432432432432
Walking Wake,18,0.08,44.78,30,36,1,67,0.5373134328358209,0.014925373134328358,0.45454545454545453,0.5454545454545454
Greninja,409,1.75,44.41,763,925,30,1718,0.5384167636786962,0.017462165308498253,0.45201421800947866,0.5479857819905213
Other,1537,6.59,43.85,2854,3485,170,6509,0.5354125057612537,0.026117683207866033,0.4502287427038965,0.5497712572961034
Clefairy,5,0.02,42.11,8,10,1,19,0.5263157894736842,0.05263157894736842,0.4444444444444444,0.5555555555555556
Gengar,20,0.09,42.86,42,53,3,98,0.5408163265306123,0.030612244897959183,0.4421052631578947,0.5578947368421052
Arceus,123,0.53,42.75,224,284,16,524,0.5419847328244275,0.030534351145038167,0.4409448818897638,0.5590551181102362
Blissey,213,0.91,42.28,389,502,29,920,0.5456521739130434,0.03152173913043478,0.43658810325476993,0.5634118967452301
Charizard,84,0.36,41.87,139,185,8,332,0.5572289156626506,0.024096385542168676,0.42901234567901236,0.5709876543209876
Espathra Xatu,57,0.24,41.78,89,120,4,213,0.5633802816901409,0.018779342723004695,0.4258373205741627,0.5741626794258373
Aegislash,13,0.06,41.18,21,29,1,51,0.5686274509803921,0.0196078431372549,0.42,0.58
Iron Valiant Xatu,2,0.01,41.67,5,7,0,12,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
Great Tusk Mill,110,0.47,40.43,186,262,12,460,0.5695652173913044,0.02608695652173913,0.41517857142857145,0.5848214285714286
Raging Bolt LZ Box,30,0.13,39.85,53,75,5,133,0.5639097744360902,0.03759398496240601,0.4140625,0.5859375
Hisuian Samurott,5,0.02,38.89,7,10,1,18,0.5555555555555556,0.05555555555555555,0.4117647058823529,0.5882352941176471
Future Box,46,0.2,40.0,66,96,3,165,0.5818181818181818,0.01818181818181818,0.4074074074074074,0.5925925925925926
Feraligatr,9,0.04,39.47,15,22,1,38,0.5789473684210527,0.02631578947368421,0.40540540540540543,0.5945945945945946
Rotom,30,0.13,40.16,49,72,1,122,0.5901639344262295,0.00819672131147541,0.4049586776859504,0.5950413223140496
Conkeldurr,17,0.07,40.48,34,50,0,84,0.5952380952380952,0.0,0.40476190476190477,0.5952380952380952
Scovillain,22,0.09,39.29,44,65,3,112,0.5803571428571429,0.026785714285714284,0.4036697247706422,0.5963302752293578
Miraidon Regieleki,47,0.2,39.7,79,117,3,199,0.5879396984924623,0.01507537688442211,0.4030612244897959,0.5969387755102041
Leafeon,1,0.0,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Spidops Venomoth,9,0.04,40.0,10,15,0,25,0.6,0.0,0.4,0.6
Steelix Dodrio,5,0.02,40.0,8,12,0,20,0.6,0.0,0.4,0.6
Dipplin,156,0.67,39.22,262,393,13,668,0.5883233532934131,0.019461077844311378,0.4,0.6
Lunatone Solrock,7,0.03,35.29,12,18,4,34,0.5294117647058824,0.11764705882352941,0.4,0.6
Hisuian Zoroark,39,0.17,38.24,52,80,4,136,0.5882352941176471,0.029411764705882353,0.3939393939393939,0.6060606060606061
Regis,26,0.11,36.08,35,55,7,97,0.5670103092783505,0.07216494845360824,0.3888888888888889,0.6111111111111112
Incineroar,20,0.09,36.9,31,51,2,84,0.6071428571428571,0.023809523809523808,0.3780487804878049,0.6219512195121951
Arceus Regidrago,16,0.07,37.04,20,34,0,54,0.6296296296296297,0.0,0.37037037037037035,0.6296296296296297
Torterra,2,0.01,36.36,4,7,0,11,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364
Arceus Vulpix,20,0.09,35.53,27,48,1,76,0.631578947368421,0.013157894736842105,0.36,0.64
Blastoise,17,0.07,34.85,23,41,2,66,0.6212121212121212,0.030303030303030304,0.359375,0.640625
Tyranitar,3,0.01,35.71,5,9,0,14,0.6428571428571429,0.0,0.35714285714285715,0.6428571428571429
Palafin,37,0.16,34.01,50,91,6,147,0.6190476190476191,0.04081632653061224,0.3546099290780142,0.6453900709219859
Steelix,3,0.01,33.33,4,8,0,12,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Palafin LZ Box,2,0.01,33.33,2,4,0,6,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Torterra,8,0.03,31.82,7,14,1,22,0.6363636363636364,0.045454545454545456,0.3333333333333333,0.6666666666666666
Banette,28,0.12,32.58,29,58,2,89,0.651685393258427,0.02247191011235955,0.3333333333333333,0.6666666666666666
Regigigas,1,0.0,33.33,1,2,0,3,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Koraidon,3,0.01,33.33,4,8,0,12,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Tsareena,81,0.35,31.41,98,202,12,312,0.6474358974358975,0.038461538461538464,0.32666666666666666,0.6733333333333333
Tinkaton,29,0.12,30.17,35,74,7,116,0.6379310344827587,0.0603448275862069,0.3211009174311927,0.6788990825688074
Arceus Charizard,16,0.07,31.58,24,52,0,76,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Raging Bolt,5,0.02,31.58,6,13,0,19,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Alakazam,21,0.09,31.58,24,52,0,76,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
United Wings,9,0.04,30.56,11,25,0,36,0.6944444444444444,0.0,0.3055555555555556,0.6944444444444444
Meowscarada,10,0.04,28.57,10,24,1,35,0.6857142857142857,0.02857142857142857,0.29411764705882354,0.7058823529411765
Forretress,3,0.01,27.27,3,8,0,11,0.7272727272727273,0.0,0.2727272727272727,0.7272727272727273
Cofagrigus,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Entei,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Dialga LZ,2,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Kyurem,3,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Spidops,6,0.03,22.22,4,14,0,18,0.7777777777777778,0.0,0.2222222222222222,0.7777777777777778
Arcanine,10,0.04,21.62,8,28,1,37,0.7567567567567568,0.02702702702702703,0.2222222222222222,0.7777777777777778
Snorlax,2,0.01,12.5,1,7,0,8,0.875,0.0,0.125,0.875
Hisuian Goodra,5,0.02,0.0,0,13,1,14,0.9285714285714286,0.07142857142857142,0.0,1.0
Charizard LZ Box,3,0.01,0.0,0,3,0,3,1.0,0.0,0.0,1.0
Glimmora,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
Pachirisu Honchkrow,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
Darkrai,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
