Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Tyranitar,2,0.02,50.0,2,1,1,4,0.25,0.25,0.6666666666666666,0.3333333333333333
Banette Gardevoir,18,0.17,59.34,54,31,6,91,0.34065934065934067,0.06593406593406594,0.6352941176470588,0.36470588235294116
Snorlax Pidgeot,4,0.04,47.83,11,7,5,23,0.30434782608695654,0.21739130434782608,0.6111111111111112,0.3888888888888889
Arceus Goodra,5,0.05,58.82,20,14,0,34,0.4117647058823529,0.0,0.5882352941176471,0.4117647058823529
Raging Bolt Palkia,2,0.02,57.14,4,3,0,7,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855
Scizor,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Entei Iron Valiant,3,0.03,52.17,12,10,1,23,0.43478260869565216,0.043478260869565216,0.5454545454545454,0.45454545454545453
Goodra LZ Box,24,0.23,53.4,55,46,2,103,0.44660194174757284,0.019417475728155338,0.5445544554455446,0.45544554455445546
Lost Zone Box,570,5.5,52.97,1436,1204,71,2711,0.44411656215418666,0.02618959793434157,0.543939393939394,0.45606060606060606
Gardevoir,1177,11.35,50.39,2872,2487,341,5700,0.4363157894736842,0.05982456140350877,0.535920880761336,0.4640791192386639
Dragapult Charizard,190,1.83,51.31,511,444,41,996,0.4457831325301205,0.04116465863453815,0.5350785340314136,0.4649214659685864
Lost Box Charizard,124,1.2,51.19,300,263,23,586,0.44880546075085326,0.03924914675767918,0.5328596802841918,0.46714031971580816
Charizard Greninja,16,0.15,50.6,42,37,4,83,0.4457831325301205,0.04819277108433735,0.5316455696202531,0.46835443037974683
Dragapult LZ Box,332,3.2,50.9,819,740,50,1609,0.4599129894344313,0.031075201988812928,0.5253367543296985,0.4746632456703015
Future Thorns,73,0.7,51.03,173,157,9,339,0.4631268436578171,0.02654867256637168,0.5242424242424243,0.47575757575757577
Giratina LZ Box,164,1.58,51.44,392,356,14,762,0.4671916010498688,0.01837270341207349,0.5240641711229946,0.47593582887700536
Lugia Archeops,1041,10.04,51.03,2480,2280,100,4860,0.4691358024691358,0.0205761316872428,0.5210084033613446,0.4789915966386555
Arceus Giratina,34,0.33,51.37,75,69,2,146,0.4726027397260274,0.0136986301369863,0.5208333333333334,0.4791666666666667
Snorlax Stall,315,3.04,47.67,695,647,116,1458,0.443758573388203,0.07956104252400549,0.5178837555886736,0.4821162444113264
Toedscruel,7,0.07,51.52,17,16,0,33,0.48484848484848486,0.0,0.5151515151515151,0.48484848484848486
Ancient Box,220,2.12,49.9,508,480,30,1018,0.4715127701375246,0.029469548133595286,0.5141700404858299,0.48582995951417
Gholdengo,185,1.78,50.41,432,409,16,857,0.47724620770128356,0.01866977829638273,0.5136741973840666,0.4863258026159334
Iron Thorns,176,1.7,50.18,419,399,17,835,0.47784431137724553,0.02035928143712575,0.5122249388753056,0.4877750611246944
Ting-Lu,9,0.09,50.0,24,23,1,48,0.4791666666666667,0.020833333333333332,0.5106382978723404,0.48936170212765956
Raging Bolt Ogerpon,1202,11.59,49.87,2773,2671,117,5561,0.4803092968890487,0.021039381406221903,0.5093681116825863,0.49063188831741367
Regidrago Box,317,3.06,49.86,725,703,26,1454,0.48349381017881704,0.017881705639614855,0.507703081232493,0.49229691876750703
Charizard Pidgeot,424,4.09,48.44,980,968,75,2023,0.4784972812654474,0.03707365299060801,0.5030800821355236,0.49691991786447637
Steelix Dodrio,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Palafin LZ Box,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Spidops Venomoth,3,0.03,50.0,4,4,0,8,0.5,0.0,0.5,0.5
Espathra,5,0.05,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Iron Valiant,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Raging Bolt Sandy Shocks,1,0.01,50.0,1,1,0,2,0.5,0.0,0.5,0.5
Dragapult,695,6.7,48.54,1534,1538,88,3160,0.48670886075949366,0.027848101265822784,0.4993489583333333,0.5006510416666666
Miraidon,323,3.12,49.02,697,701,24,1422,0.4929676511954993,0.016877637130801686,0.49856938483547925,0.5014306151645207
Arceus Armarouge,41,0.4,48.59,86,87,4,177,0.4915254237288136,0.022598870056497175,0.49710982658959535,0.5028901734104047
Roaring Moon,77,0.74,49.42,170,172,2,344,0.5,0.005813953488372093,0.49707602339181284,0.5029239766081871
Arceus Aerodactyl,14,0.14,47.89,34,35,2,71,0.49295774647887325,0.028169014084507043,0.4927536231884058,0.5072463768115942
Pidgeot Control,203,1.96,46.67,399,417,39,855,0.48771929824561405,0.0456140350877193,0.4889705882352941,0.5110294117647058
Ogerpon,21,0.2,47.83,44,47,1,92,0.5108695652173914,0.010869565217391304,0.4835164835164835,0.5164835164835165
Gouging Fire,50,0.48,47.64,91,98,2,191,0.5130890052356021,0.010471204188481676,0.48148148148148145,0.5185185185185185
Sinistcha Ogerpon,51,0.49,46.82,103,115,2,220,0.5227272727272727,0.00909090909090909,0.4724770642201835,0.5275229357798165
Luxray,37,0.36,46.39,77,86,3,166,0.5180722891566265,0.018072289156626505,0.4723926380368098,0.5276073619631901
Dialga Metang,153,1.48,46.45,321,360,10,691,0.5209840810419681,0.01447178002894356,0.4713656387665198,0.5286343612334802
Giratina,3,0.03,47.06,8,9,0,17,0.5294117647058824,0.0,0.47058823529411764,0.5294117647058824
Klawf Electrode,10,0.1,44.68,21,24,2,47,0.5106382978723404,0.0425531914893617,0.4666666666666667,0.5333333333333333
Turbo Roaring Moon,54,0.52,45.98,103,119,2,224,0.53125,0.008928571428571428,0.46396396396396394,0.536036036036036
Chien-Pao Baxcalibur,276,2.66,45.48,564,653,23,1240,0.5266129032258065,0.018548387096774192,0.46343467543138867,0.5365653245686114
Future Hands,164,1.58,44.52,325,395,10,730,0.541095890410959,0.0136986301369863,0.4513888888888889,0.5486111111111112
Raging Bolt LZ Box,11,0.11,43.4,23,28,2,53,0.5283018867924528,0.03773584905660377,0.45098039215686275,0.5490196078431373
Conkeldurr,9,0.09,44.9,22,27,0,49,0.5510204081632653,0.0,0.4489795918367347,0.5510204081632653
