Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Charizard Pidgeot,75,0.08000000000000007,-0.02999999999999403,188,177,21,386,-0.00038974766290028606,0.000644408175873995,7.818181930996371e-05,-7.818181930979717e-05
Gardevoir,30,0.07000000000000028,-0.19999999999999574,61,63,13,137,7.92954428785464e-05,0.001967313384473701,-0.0010632005746515905,0.001063200574651646
Lost Box Charizard,11,0.030000000000000027,0.3299999999999983,38,22,1,61,-0.0027645261593147175,-0.0005381415577140995,0.003084495488105077,-0.0030844954881049103
Dialga Metang,13,0.020000000000000018,-0.13000000000000256,23,29,0,52,0.0017760385690167024,-0.00047605157520039937,-0.0015610090284065015,0.0015610090284065015
Arceus Armarouge,7,0.020000000000000018,-0.8999999999999986,7,20,0,27,0.009498720726021426,-0.0004813992672033987,-0.009415599320571122,0.009415599320571066
Arceus Vulpix,9,0.020000000000000018,0.6799999999999997,44,23,3,70,-0.008182983338262784,0.0013646953823482008,0.007691535527311388,-0.007691535527311499
Gholdengo,13,0.020000000000000018,0.020000000000003126,43,39,7,89,-0.0019452771733156071,0.0017288981049354973,0.0011251119889705286,-0.001125111988970584
Hisuian Zoroark,5,0.019999999999999962,0.46999999999999886,15,14,1,30,-0.005062243933186217,0.00033485660258429986,0.005032433563507022,-0.005032433563507022
Future Hands,40,0.019999999999999574,-0.17999999999999972,76,101,3,180,0.0017728645707613122,4.3146574399199195e-05,-0.0018214216821909046,0.0018214216821909046
Tinkaton,2,0.010000000000000009,0.12999999999999545,5,6,0,11,-0.000809565325694428,-0.0005137626105368009,0.0011160714285715079,-0.0011160714285713969
Arceus,5,0.010000000000000009,0.3299999999999983,15,10,1,26,-0.004013066217854799,0.0007103172448740015,0.0037355996756980314,-0.0037355996756980314
Raging Bolt Sandy Shocks,6,0.010000000000000009,0.060000000000002274,16,16,0,32,-3.5318217136426355e-05,-0.0005297732570459998,0.0003098962872830069,-0.0003098962872829514
Meowscarada,4,0.010000000000000009,0.6200000000000045,10,11,0,21,-0.004684680767809368,-0.0015977913523619013,0.0057857451994259845,-0.0057857451994259845
Gouging Fire,5,0.010000000000000009,0.1600000000000037,18,14,2,34,-0.0042995467009516175,0.00266892445132,0.00304894530278621,-0.00304894530278621
Hisuian Samurott,1,0.010000000000000002,-1.3300000000000054,3,4,0,7,0.014946962391513996,-0.0016875602700096998,-0.014427860696517358,0.014427860696517414
United Wings,1,0.009999999999999998,-2.6700000000000017,0,2,0,2,0.026666666666666616,0.0,-0.026666666666666672,0.026666666666666616
Lost Zone Box,18,0.009999999999999787,-0.23999999999999488,39,41,14,94,-0.0008785577639708886,0.003279479597058703,-0.0007253820115661336,0.0007253820115661336
Espathra Xatu,8,0.0,0.14000000000000057,22,20,1,43,-0.0010502622153107932,-0.0003908712646576995,0.0013010279932322288,-0.0013010279932321733
Arceus Regidrago,1,0.0,-0.17999999999999972,0,1,0,1,0.001923720307795307,-0.00010036801605890072,-0.0019162476706163223,0.0019162476706163778
Turbo Roaring Moon,3,0.0,-0.3500000000000014,1,5,0,6,0.0037404349393772574,-0.00021852589713989776,-0.003698138061297429,0.0036981380612974846
Tsareena,2,0.0,-0.8100000000000023,0,5,0,5,0.008557135334386512,-0.0004388274530453991,-0.008431318931729104,0.008431318931729104
Arcanine,1,0.0,-0.990000000000002,0,2,0,2,0.009971509971509973,0.0,-0.009971509971510029,0.009971509971509973
Ting-Lu,1,0.0,-0.5300000000000011,1,4,0,5,0.005612614391994231,-0.00032918559483839996,-0.005527210884353817,0.005527210884353706
Scovillain,1,0.0,-0.030000000000001137,2,3,0,5,0.000954871922613787,-0.0006227425582263982,-0.0006143584342637176,0.0006143584342636066
Roaring Moon Dudunsparce,14,0.0,0.10999999999999943,40,33,3,76,-0.001366543856396063,0.0003220146443206999,0.0012408758306347023,-0.0012408758306348133
Roaring Moon,2,0.0,-0.060000000000002274,5,6,0,11,0.0010466348701643202,-0.0004372019077901017,-0.0008446530691368359,0.0008446530691369469
Regidrago Box,1,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Palkia,2,0.0,0.4099999999999966,6,4,1,11,-0.006241517080537551,0.0021983903959014,0.005141129032258107,-0.005141129032258163
Miraidon Regieleki,1,0.0,-0.18999999999999773,3,4,0,7,0.0024613842707227884,-0.0005158589788940016,-0.0022522522522522292,0.0022522522522522292
Future Box,3,0.0,-0.05999999999999517,5,7,0,12,0.0007689801238188743,-0.00010426849136519964,-0.000718495303332789,0.0007184953033329
Miraidon,1,0.0,-0.5700000000000003,0,3,0,3,0.005825825825825803,-6.0060060060099923e-05,-0.005817711700064732,0.005817711700064621
Klawf Electrode,1,0.0,-1.6000000000000014,0,1,0,1,0.017241379310344862,-0.0012315270935960992,-0.017195767195767098,0.01719576719576721
Incineroar,2,0.0,-0.11999999999999744,5,7,0,12,0.001981050818260166,-0.0008613264427217993,-0.0015362816019091619,0.0015362816019091063
Gengar,1,0.0,-0.3400000000000034,0,4,0,4,0.0038061035781977726,-0.00039902698803689907,-0.003666391412056158,0.003666391412056158
Glimmora,1,0.0,-1.0799999999999983,0,1,0,1,0.010822510822510845,0.0,-0.010822510822510789,0.010822510822510845
Goodra LZ Box,2,0.0,-0.25,1,3,0,4,0.0026110372567065276,-0.00013634659303950018,-0.002575587905935095,0.0025755879059350395
Banette Gardevoir,1,0.0,-0.10999999999999943,4,3,1,8,-0.0010895107882930577,0.002200384533219406,0.00013932427725527052,-0.00013932427725527052
Banette,2,0.0,0.8100000000000023,5,4,0,9,-0.007087091639505716,-0.001023269915864499,0.007828481510621488,-0.007828481510621543
Pidgeot Control,11,-0.009999999999999787,-0.20000000000000284,15,20,4,39,0.0014563169358060013,0.0004825051794652008,-0.0018024421359577047,0.0018024421359577603
Blastoise,0,-0.009999999999999995,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Alakazam,1,-0.010000000000000009,0.4100000000000037,4,4,0,8,-0.003196022727272707,-0.0009469696969696996,0.00390625,-0.00390625
Spidops Venomoth,0,-0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Raging Bolt LZ Box,1,-0.010000000000000009,-0.4299999999999997,0,3,0,3,0.0044908011009706095,-0.00019315273552560075,-0.004499570265761088,0.004499570265761088
Arceus Goodra,0,-0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Snorlax Pidgeot,0,-0.010000000000000009,0.0,0,0,0,0,0.0,0.0,0.0,0.0
Charizard,5,-0.020000000000000018,0.1700000000000017,17,13,1,31,-0.0017556105505849295,-5.12774165929708e-06,0.001817524386602598,-0.0018175243866026536
Great Tusk Mill,5,-0.020000000000000018,0.01999999999999602,10,12,1,23,-0.0005998975064701595,0.00038453997891079936,0.0003856563981413097,-0.0003856563981413652
Ancient Box,15,-0.020000000000000462,-0.0800000000000054,28,32,5,65,-0.00013342654398940113,0.0009824703830656999,-0.00037675600822140165,0.00037675600822140165
Other,9,-0.029999999999999805,0.02999999999999403,17,22,4,43,-0.0013358891424151143,0.0009952966636566987,0.000750391919962401,-0.000750391919962401
Arceus Giratina,11,-0.029999999999999805,-0.010000000000005116,31,26,3,60,-0.00021129661914437436,0.00033942718144569853,5.71678557320654e-05,-5.716785573212091e-05
Snorlax Stall,3,-0.03000000000000025,0.07000000000000028,11,7,1,19,-0.0005533285472339999,-0.00022261524382910514,0.0007096707290130677,-0.0007096707290130677
Giratina LZ Box,14,-0.03000000000000025,0.00999999999999801,31,27,1,59,8.043672267199486e-05,-0.00014785909320810114,-1.2061334857649264e-05,1.2061334857593753e-05
Lugia Archeops,17,-0.040000000000000036,0.0800000000000054,45,33,3,81,-0.0010563230604092033,0.00021869778150089905,0.0009729390791920478,-0.0009729390791919923
Chien-Pao Baxcalibur,23,-0.07000000000000028,0.01999999999999602,58,57,1,116,0.00012571852682119466,-0.0003068444603018007,2.766812014676212e-05,-2.7668120146817632e-05
