Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Snorlax Pidgeot,11,0.07,57.75,41,20,10,71,0.28169014084507044,0.14084507042253522,0.6721311475409836,0.32786885245901637
Iron Valiant,13,0.09,58.46,38,25,2,65,0.38461538461538464,0.03076923076923077,0.6031746031746031,0.3968253968253968
Entei Iron Valiant,8,0.05,54.0,27,20,3,50,0.4,0.06,0.574468085106383,0.425531914893617
Raging Bolt Palkia,3,0.02,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855
Banette Gardevoir,36,0.24,54.14,98,74,9,181,0.4088397790055249,0.049723756906077346,0.5697674418604651,0.43023255813953487
Scizor,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Snorlax Stall,457,3.06,49.67,1059,893,180,2132,0.41885553470919323,0.08442776735459662,0.5425204918032787,0.4574795081967213
Goodra LZ Box,35,0.23,52.94,81,70,2,153,0.45751633986928103,0.013071895424836602,0.5364238410596026,0.46357615894039733
Charizard Greninja,17,0.11,50.56,45,39,5,89,0.43820224719101125,0.056179775280898875,0.5357142857142857,0.4642857142857143
Toedscruel,24,0.16,52.43,54,47,2,103,0.4563106796116505,0.019417475728155338,0.5346534653465347,0.46534653465346537
Gardevoir,1833,12.29,49.81,4343,3857,520,8720,0.4423165137614679,0.05963302752293578,0.5296341463414634,0.47036585365853656
Dragapult LZ Box,401,2.69,51.0,992,887,66,1945,0.45604113110539846,0.0339331619537275,0.5279403938265035,0.4720596061734965
Dragapult Charizard,262,1.76,50.41,674,606,57,1337,0.4532535527299925,0.04263275991024682,0.5265625,0.4734375
Arceus Goodra,7,0.05,52.38,22,20,0,42,0.47619047619047616,0.0,0.5238095238095238,0.47619047619047616
Lugia Archeops,1330,8.92,51.25,3148,2866,128,6142,0.4666232497557799,0.020840117225659396,0.523445294313269,0.476554705686731
Lost Zone Box,889,5.96,50.67,2089,1902,132,4123,0.4613145767644919,0.032015522677661896,0.5234277123527938,0.4765722876472062
Ancient Box,389,2.61,50.39,896,827,55,1778,0.4651293588301462,0.03093363329583802,0.5200232153221126,0.4799767846778874
Arceus Giratina,37,0.25,51.23,83,77,2,162,0.47530864197530864,0.012345679012345678,0.51875,0.48125
Gholdengo,273,1.83,50.51,645,604,28,1277,0.4729835552075176,0.02192638997650744,0.5164131305044035,0.4835868694955965
Giratina LZ Box,233,1.56,50.58,524,493,19,1036,0.47586872586872586,0.01833976833976834,0.5152409046214356,0.48475909537856443
