Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,73,0.36,54.78,195,145,16,356,0.40730337078651685,0.0449438202247191,0.5735294117647058,0.4264705882352941
Lost Box Charizard,325,1.6,55.03,875,672,43,1590,0.4226415094339623,0.027044025157232705,0.5656108597285068,0.4343891402714932
Arceus Aerodactyl,20,0.1,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.44086021505376344
Dialga LZ,1,0.0,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Snorlax Stall,423,2.08,50.47,1075,893,162,2130,0.4192488262910798,0.07605633802816901,0.546239837398374,0.453760162601626
Pidgeot Control,612,3.01,50.71,1459,1215,203,2877,0.42231491136600624,0.0705596107055961,0.5456245325355273,0.4543754674644727
Hisuian Samurott,10,0.05,53.52,38,32,1,71,0.4507042253521127,0.014084507042253521,0.5428571428571428,0.45714285714285713
Arceus Giratina,756,3.71,52.19,1910,1628,122,3660,0.4448087431693989,0.03333333333333333,0.5398530243075184,0.46014697569248164
Arceus Armarouge,199,0.98,53.08,508,434,15,957,0.4535005224660397,0.01567398119122257,0.5392781316348195,0.4607218683651805
Giratina LZ Box,983,4.83,51.72,2374,2089,127,4590,0.455119825708061,0.02766884531590414,0.5319291956083352,0.4680708043916648
Arceus Vulpix,267,1.31,51.62,686,615,28,1329,0.46275395033860045,0.021068472535741158,0.5272867025365103,0.4727132974634896
Gouging Fire,146,0.72,51.42,345,310,16,671,0.46199701937406856,0.02384500745156483,0.5267175572519084,0.4732824427480916
Entei Iron Valiant,8,0.04,52.27,23,21,0,44,0.4772727272727273,0.0,0.5227272727272727,0.4772727272727273
Lost Zone Box,847,4.16,50.52,1940,1781,119,3840,0.46380208333333334,0.030989583333333334,0.5213652244020425,0.47863477559795753
Arceus,181,0.89,50.8,414,382,19,815,0.4687116564417178,0.023312883435582823,0.5201005025125628,0.4798994974874372
Espathra,13,0.06,49.06,26,24,3,53,0.4528301886792453,0.05660377358490566,0.52,0.48
Gardevoir,932,4.58,49.46,2149,2012,184,4345,0.46306098964326814,0.04234752589182969,0.5164623888488344,0.48353761115116556
Lugia Archeops,1226,6.02,50.38,2907,2722,141,5770,0.47175043327556326,0.024436741767764298,0.5164327589269853,0.48356724107301474
Charizard Pidgeot,2971,14.6,49.62,6999,6626,481,14106,0.4697291932510988,0.03409896497944137,0.5136880733944954,0.4863119266055046
Miraidon Regieleki,62,0.3,49.83,143,139,5,287,0.4843205574912892,0.017421602787456445,0.5070921985815603,0.4929078014184397
Charizard LZ Box,16,0.08,50.67,38,37,0,75,0.49333333333333335,0.0,0.5066666666666667,0.49333333333333335
Raging Bolt LZ Box,85,0.42,49.61,190,185,8,383,0.4830287206266319,0.020887728459530026,0.5066666666666667,0.49333333333333335
Roaring Moon Dudunsparce,666,3.27,49.15,1480,1452,79,3011,0.48223181667220194,0.026237130521421455,0.504774897680764,0.495225102319236
Future Hands,1730,8.5,49.52,3971,3924,124,8019,0.489337822671156,0.015463274722533981,0.5029765674477518,0.49702343255224823
Chien-Pao Baxcalibur,1690,8.3,48.69,3924,3914,221,8059,0.48566819704678,0.027422757165901476,0.5006379178361827,0.4993620821638173
Gholdengo,433,2.13,48.04,1031,1031,84,2146,0.4804287045666356,0.0391425908667288,0.5,0.5
Roaring Moon,124,0.61,48.9,288,289,12,589,0.4906621392190153,0.02037351443123939,0.49913344887348354,0.5008665511265165
Snorlax Pidgeot,74,0.36,45.54,148,149,28,325,0.4584615384615385,0.08615384615384615,0.4983164983164983,0.5016835016835017
Goodra LZ Box,87,0.43,48.72,210,212,9,431,0.4918793503480278,0.02088167053364269,0.4976303317535545,0.5023696682464455
Ting-Lu,72,0.35,48.48,159,161,8,328,0.49085365853658536,0.024390243902439025,0.496875,0.503125
Dialga Metang,537,2.64,48.6,1164,1192,39,2395,0.4977035490605428,0.0162839248434238,0.4940577249575552,0.5059422750424448
Raging Bolt Sandy Shocks,247,1.21,48.38,536,557,15,1108,0.5027075812274369,0.013537906137184115,0.49039341262580055,0.5096065873741995
Ancient Box,900,4.42,47.91,2004,2083,96,4183,0.4979679655749462,0.02295003585943103,0.49033520919990214,0.5096647908000979
Turbo Roaring Moon,130,0.64,47.54,270,288,10,568,0.5070422535211268,0.017605633802816902,0.4838709677419355,0.5161290322580645
Espathra Xatu,337,1.66,46.47,756,809,62,1627,0.4972341733251383,0.03810694529809465,0.4830670926517572,0.5169329073482428
Arceus Goodra,68,0.33,47.28,139,149,6,294,0.5068027210884354,0.02040816326530612,0.4826388888888889,0.5173611111111112
Tyranitar,4,0.02,47.62,10,11,0,21,0.5238095238095238,0.0,0.47619047619047616,0.5238095238095238
Future Box,201,0.99,46.84,408,455,8,871,0.5223880597014925,0.009184845005740528,0.4727694090382387,0.5272305909617613
Garchomp,30,0.15,45.76,54,62,2,118,0.5254237288135594,0.01694915254237288,0.46551724137931033,0.5344827586206896
Arceus Regidrago,56,0.28,45.49,121,139,6,266,0.5225563909774437,0.022556390977443608,0.4653846153846154,0.5346153846153846
Klawf Electrode,8,0.04,44.83,13,15,1,29,0.5172413793103449,0.034482758620689655,0.4642857142857143,0.5357142857142857
Charizard,399,1.96,44.99,844,974,58,1876,0.5191897654584222,0.03091684434968017,0.46424642464246424,0.5357535753575358
Hisuian Zoroark,107,0.53,44.58,181,214,11,406,0.5270935960591133,0.027093596059113302,0.4582278481012658,0.5417721518987342
Rotom,33,0.16,43.75,70,83,7,160,0.51875,0.04375,0.45751633986928103,0.5424836601307189
Spidops Venomoth,38,0.19,43.71,73,89,5,167,0.5329341317365269,0.029940119760479042,0.4506172839506173,0.5493827160493827
Miraidon,61,0.3,44.57,123,150,3,276,0.5434782608695652,0.010869565217391304,0.45054945054945056,0.5494505494505495
Hisuian Goodra,4,0.02,44.44,8,10,0,18,0.5555555555555556,0.0,0.4444444444444444,0.5555555555555556
Palkia,89,0.44,42.62,156,201,9,366,0.5491803278688525,0.02459016393442623,0.4369747899159664,0.5630252100840336
