Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,2,0.06,72.73,8,3,0,11,0.2727272727272727,0.0,0.7272727272727273,0.2727272727272727
Arceus Goodra,1,0.03,71.43,5,2,0,7,0.2857142857142857,0.0,0.7142857142857143,0.2857142857142857
Blastoise,3,0.09,61.54,8,5,0,13,0.38461538461538464,0.0,0.6153846153846154,0.38461538461538464
Charizard Greninja,9,0.26,53.7,29,22,3,54,0.4074074074074074,0.05555555555555555,0.5686274509803921,0.43137254901960786
Iron Thorns,45,1.3,55.45,117,89,5,211,0.4218009478672986,0.023696682464454975,0.5679611650485437,0.4320388349514563
Lost Zone Box,130,3.75,53.44,311,260,11,582,0.44673539518900346,0.018900343642611683,0.5446584938704028,0.4553415061295972
Gardevoir,284,8.2,51.96,717,605,58,1380,0.4384057971014493,0.042028985507246375,0.5423600605143721,0.4576399394856278
Dragapult Charizard,63,1.82,52.5,168,142,10,320,0.44375,0.03125,0.5419354838709678,0.45806451612903226
Lost Box Charizard,40,1.15,51.43,90,77,8,175,0.44,0.045714285714285714,0.5389221556886228,0.46107784431137727
Regidrago Box,71,2.05,53.26,188,161,4,353,0.45609065155807366,0.0113314447592068,0.5386819484240688,0.46131805157593125
Dragapult LZ Box,103,2.97,53.29,259,222,5,486,0.4567901234567901,0.0102880658436214,0.5384615384615384,0.46153846153846156
Lugia Archeops,356,10.28,52.52,885,776,24,1685,0.4605341246290801,0.014243323442136498,0.5328115593016255,0.46718844069837445
Goodra LZ Box,11,0.32,52.0,26,23,1,50,0.46,0.02,0.5306122448979592,0.46938775510204084
Ting-Lu,3,0.09,50.0,9,8,1,18,0.4444444444444444,0.05555555555555555,0.5294117647058824,0.47058823529411764
Arceus Giratina,20,0.58,51.72,45,40,2,87,0.45977011494252873,0.022988505747126436,0.5294117647058824,0.47058823529411764
Future Thorns,34,0.98,51.4,92,82,5,179,0.4581005586592179,0.027932960893854747,0.5287356321839081,0.47126436781609193
