Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,2,0.07,72.73,8,3,0,11,0.2727272727272727,0.0,0.7272727272727273,0.2727272727272727
Arceus Goodra,1,0.03,71.43,5,2,0,7,0.2857142857142857,0.0,0.7142857142857143,0.2857142857142857
Blastoise,3,0.1,61.54,8,5,0,13,0.38461538461538464,0.0,0.6153846153846154,0.38461538461538464
Espathra,3,0.1,61.11,11,7,0,18,0.3888888888888889,0.0,0.6111111111111112,0.3888888888888889
Miraidon Regieleki,1,0.03,60.0,3,2,0,5,0.4,0.0,0.6,0.4
Charizard Greninja,9,0.3,53.7,29,22,3,54,0.4074074074074074,0.05555555555555555,0.5686274509803921,0.43137254901960786
Dragapult LZ Box,78,2.59,55.44,214,167,5,386,0.4326424870466321,0.012953367875647668,0.5616797900262467,0.43832020997375326
Palkia,9,0.3,54.76,23,19,0,42,0.4523809523809524,0.0,0.5476190476190477,0.4523809523809524
Dragapult Charizard,62,2.06,52.83,168,140,10,318,0.44025157232704404,0.031446540880503145,0.5454545454545454,0.45454545454545453
Lost Zone Box,109,3.62,53.13,255,215,10,480,0.4479166666666667,0.020833333333333332,0.5425531914893617,0.4574468085106383
Iron Thorns,37,1.23,53.13,85,72,3,160,0.45,0.01875,0.5414012738853503,0.4585987261146497
Ting-Lu,2,0.07,50.0,7,6,1,14,0.42857142857142855,0.07142857142857142,0.5384615384615384,0.46153846153846156
Arceus Giratina,19,0.63,52.38,44,38,2,84,0.4523809523809524,0.023809523809523808,0.5365853658536586,0.4634146341463415
Gardevoir,240,7.97,51.42,581,506,43,1130,0.44778761061946903,0.03805309734513274,0.5344986200551978,0.46550137994480223
Future Thorns,27,0.9,51.85,70,61,4,135,0.45185185185185184,0.02962962962962963,0.5343511450381679,0.46564885496183206
Regidrago Box,61,2.03,52.53,156,137,4,297,0.4612794612794613,0.013468013468013467,0.5324232081911263,0.46757679180887374
Goodra LZ Box,11,0.37,52.0,26,23,1,50,0.46,0.02,0.5306122448979592,0.46938775510204084
Lugia Archeops,303,10.07,52.29,752,666,20,1438,0.4631432545201669,0.013908205841446454,0.5303244005641748,0.4696755994358251
Sinistcha Ogerpon,20,0.66,52.48,53,47,1,101,0.46534653465346537,0.009900990099009901,0.53,0.47
Pidgeot Control,74,2.46,51.05,170,152,11,333,0.45645645645645644,0.03303303303303303,0.5279503105590062,0.4720496894409938
Snorlax Stall,119,3.95,49.21,280,252,37,569,0.4428822495606327,0.06502636203866433,0.5263157894736842,0.47368421052631576
Arceus Aerodactyl,10,0.33,52.63,30,27,0,57,0.47368421052631576,0.0,0.5263157894736842,0.47368421052631576
