Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Snorlax Pidgeot,34,0.15,54.36,106,63,26,195,0.3230769230769231,0.13333333333333333,0.6272189349112426,0.3727810650887574
Raging Bolt Palkia,3,0.01,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855
Raging Bolt Sandy Shocks,4,0.02,56.25,9,7,0,16,0.4375,0.0,0.5625,0.4375
Snorlax Stall,742,3.22,50.49,1767,1462,271,3500,0.4177142857142857,0.07742857142857143,0.547228244038402,0.452771755961598
Giratina LZ Box,368,1.6,52.91,892,758,36,1686,0.44958481613285883,0.021352313167259787,0.5406060606060606,0.4593939393939394
Banette Gardevoir,57,0.25,51.52,136,116,12,264,0.4393939393939394,0.045454545454545456,0.5396825396825397,0.4603174603174603
Giratina,6,0.03,53.57,15,13,0,28,0.4642857142857143,0.0,0.5357142857142857,0.4642857142857143
Entei Iron Valiant,25,0.11,51.49,69,60,5,134,0.44776119402985076,0.03731343283582089,0.5348837209302325,0.46511627906976744
Ancient Box,666,2.89,51.24,1595,1427,91,3113,0.4584002569868294,0.029232251847092838,0.527796161482462,0.47220383851753805
Gardevoir,2829,12.29,49.45,6593,5959,781,13333,0.4469361734043351,0.05857646441161029,0.5252549394518802,0.4747450605481198
Arceus Giratina,48,0.21,51.66,109,99,3,211,0.46919431279620855,0.014218009478672985,0.5240384615384616,0.47596153846153844
Scizor,5,0.02,52.38,11,10,0,21,0.47619047619047616,0.0,0.5238095238095238,0.47619047619047616
Lugia Archeops,1831,7.96,51.15,4387,4014,176,8577,0.46799580272822666,0.020519995336364696,0.5221997381264135,0.4778002618735865
Lost Zone Box,1389,6.04,50.54,3236,2993,174,6403,0.4674371388411682,0.027174761830392004,0.5195055386097287,0.4804944613902713
Regidrago Box,1216,5.28,50.95,2879,2667,105,5651,0.4719518669262078,0.018580782162449124,0.5191128741435269,0.48088712585647314
Dragapult LZ Box,488,2.12,50.3,1169,1084,71,2324,0.4664371772805508,0.03055077452667814,0.5188637372392366,0.48113626276076343
Pidgeot Control,425,1.85,48.69,927,864,113,1904,0.453781512605042,0.05934873949579832,0.5175879396984925,0.4824120603015075
Goodra LZ Box,58,0.25,50.0,120,114,6,240,0.475,0.025,0.5128205128205128,0.48717948717948717
Charizard Greninja,22,0.1,48.62,53,51,5,109,0.46788990825688076,0.045871559633027525,0.5096153846153846,0.49038461538461536
Dragapult Charizard,390,1.69,48.93,935,904,72,1911,0.4730507587650445,0.03767660910518053,0.5084284937466014,0.49157150625339857
Raging Bolt Ogerpon,2102,9.13,49.78,4816,4669,190,9675,0.4825839793281654,0.019638242894056846,0.5077490774907749,0.4922509225092251
Gouging Fire,106,0.46,50.23,218,213,3,434,0.49078341013824883,0.0069124423963133645,0.505800464037123,0.494199535962877
Miraidon,749,3.25,49.68,1653,1616,58,3327,0.4857228734595732,0.01743312293357379,0.5056592230039767,0.49434077699602325
Turbo Roaring Moon,297,1.29,49.89,651,637,17,1305,0.48812260536398466,0.013026819923371647,0.5054347826086957,0.4945652173913043
Lost Box Charizard,373,1.62,48.75,837,819,61,1717,0.47699475829935933,0.035527082119976704,0.5054347826086957,0.4945652173913043
Future Thorns,155,0.67,49.61,316,310,11,637,0.48665620094191525,0.01726844583987441,0.5047923322683706,0.4952076677316294
Palkia,49,0.21,49.55,110,108,4,222,0.4864864864864865,0.018018018018018018,0.5045871559633027,0.4954128440366973
Gholdengo,445,1.93,49.44,1017,1003,37,2057,0.48760330578512395,0.01798736023334954,0.5034653465346535,0.49653465346534653
Iron Thorns,293,1.27,49.11,665,662,27,1354,0.48892171344165436,0.019940915805022157,0.5011303692539563,0.49886963074604374
Espathra,5,0.02,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Magnezone,1,0.0,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Charizard Arceus,2,0.01,50.0,3,3,0,6,0.5,0.0,0.5,0.5
Dragapult,1242,5.4,48.42,2715,2729,163,5607,0.486713037274835,0.029070804351703228,0.49871418074944895,0.501285819250551
Toedscruel,82,0.36,48.7,168,169,8,345,0.48985507246376814,0.02318840579710145,0.49851632047477745,0.5014836795252225
Iron Valiant,37,0.16,48.72,76,77,3,156,0.4935897435897436,0.019230769230769232,0.49673202614379086,0.5032679738562091
Charizard Pidgeot,1179,5.12,47.79,2586,2655,170,5411,0.49066715948992795,0.031417482905193125,0.4934172867773326,0.5065827132226675
Garchomp,22,0.1,46.59,41,43,4,88,0.48863636363636365,0.045454545454545456,0.4880952380952381,0.5119047619047619
Dialga Metang,270,1.17,46.93,573,626,22,1221,0.5126945126945127,0.018018018018018018,0.4778982485404504,0.5221017514595496
Ogerpon,33,0.14,46.72,64,71,2,137,0.5182481751824818,0.014598540145985401,0.4740740740740741,0.5259259259259259
Arceus Armarouge,68,0.3,46.01,127,141,8,276,0.5108695652173914,0.028985507246376812,0.47388059701492535,0.5261194029850746
Sinistcha Ogerpon,75,0.33,46.72,164,184,3,351,0.5242165242165242,0.008547008547008548,0.47126436781609193,0.5287356321839081
Roaring Moon,105,0.46,46.51,213,241,4,458,0.5262008733624454,0.008733624454148471,0.46916299559471364,0.5308370044052864
Future Hands,337,1.46,45.73,680,776,31,1487,0.5218560860793544,0.020847343644922665,0.46703296703296704,0.532967032967033
Klawf Electrode,19,0.08,45.65,42,48,2,92,0.5217391304347826,0.021739130434782608,0.4666666666666667,0.5333333333333333
Chien-Pao Baxcalibur,781,3.39,45.61,1578,1808,74,3460,0.522543352601156,0.02138728323699422,0.46603662138216184,0.5339633786178382
Arceus Aerodactyl,20,0.09,45.54,46,53,2,101,0.5247524752475248,0.019801980198019802,0.46464646464646464,0.5353535353535354
Roaring Moon Dudunsparce,77,0.33,44.98,148,172,9,329,0.5227963525835866,0.02735562310030395,0.4625,0.5375
Arceus Aggron,3,0.01,46.15,6,7,0,13,0.5384615384615384,0.0,0.46153846153846156,0.5384615384615384
Ting-Lu,16,0.07,45.0,36,42,2,80,0.525,0.025,0.46153846153846156,0.5384615384615384
Arceus Goodra,10,0.04,45.83,22,26,0,48,0.5416666666666666,0.0,0.4583333333333333,0.5416666666666666
Luxray,85,0.37,45.01,167,198,6,371,0.5336927223719676,0.016172506738544475,0.4575342465753425,0.5424657534246575
Walking Wake,18,0.08,44.78,30,36,1,67,0.5373134328358209,0.014925373134328358,0.45454545454545453,0.5454545454545454
Greninja,406,1.76,44.4,757,918,30,1705,0.5384164222873901,0.017595307917888565,0.4519402985074627,0.5480597014925374
Other,1517,6.59,43.92,2823,3438,167,6428,0.5348475420037336,0.025980087118855008,0.45088643986583615,0.5491135601341639
Clefairy,5,0.02,42.11,8,10,1,19,0.5263157894736842,0.05263157894736842,0.4444444444444444,0.5555555555555556
Gengar,20,0.09,42.86,42,53,3,98,0.5408163265306123,0.030612244897959183,0.4421052631578947,0.5578947368421052
Blissey,211,0.92,41.88,379,497,29,905,0.549171270718232,0.032044198895027624,0.432648401826484,0.567351598173516
Charizard,84,0.37,41.87,139,185,8,332,0.5572289156626506,0.024096385542168676,0.42901234567901236,0.5709876543209876
Scovillain,20,0.09,41.58,42,56,3,101,0.5544554455445545,0.0297029702970297,0.42857142857142855,0.5714285714285714
Arceus,119,0.52,41.32,207,278,16,501,0.5548902195608783,0.031936127744510975,0.4268041237113402,0.5731958762886598
Espathra Xatu,57,0.25,41.78,89,120,4,213,0.5633802816901409,0.018779342723004695,0.4258373205741627,0.5741626794258373
Aegislash,13,0.06,41.18,21,29,1,51,0.5686274509803921,0.0196078431372549,0.42,0.58
Iron Valiant Xatu,2,0.01,41.67,5,7,0,12,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
Conkeldurr,16,0.07,41.46,34,48,0,82,0.5853658536585366,0.0,0.4146341463414634,0.5853658536585366
Raging Bolt LZ Box,30,0.13,39.85,53,75,5,133,0.5639097744360902,0.03759398496240601,0.4140625,0.5859375
Great Tusk Mill,108,0.47,40.18,180,256,12,448,0.5714285714285714,0.026785714285714284,0.41284403669724773,0.5871559633027523
Hisuian Samurott,5,0.02,38.89,7,10,1,18,0.5555555555555556,0.05555555555555555,0.4117647058823529,0.5882352941176471
Future Box,46,0.2,40.0,66,96,3,165,0.5818181818181818,0.01818181818181818,0.4074074074074074,0.5925925925925926
Feraligatr,9,0.04,39.47,15,22,1,38,0.5789473684210527,0.02631578947368421,0.40540540540540543,0.5945945945945946
Miraidon Regieleki,47,0.2,39.7,79,117,3,199,0.5879396984924623,0.01507537688442211,0.4030612244897959,0.5969387755102041
Dipplin,155,0.67,39.43,261,388,13,662,0.5861027190332326,0.019637462235649546,0.40215716486902925,0.5978428351309707
Spidops Venomoth,9,0.04,40.0,10,15,0,25,0.6,0.0,0.4,0.6
Lunatone Solrock,7,0.03,35.29,12,18,4,34,0.5294117647058824,0.11764705882352941,0.4,0.6
Rotom,29,0.13,39.66,46,69,1,116,0.5948275862068966,0.008620689655172414,0.4,0.6
Leafeon,1,0.0,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Hisuian Zoroark,39,0.17,38.24,52,80,4,136,0.5882352941176471,0.029411764705882353,0.3939393939393939,0.6060606060606061
Regis,26,0.11,36.08,35,55,7,97,0.5670103092783505,0.07216494845360824,0.3888888888888889,0.6111111111111112
Incineroar,20,0.09,36.9,31,51,2,84,0.6071428571428571,0.023809523809523808,0.3780487804878049,0.6219512195121951
Steelix Dodrio,4,0.02,37.5,6,10,0,16,0.625,0.0,0.375,0.625
Arceus Regidrago,16,0.07,37.04,20,34,0,54,0.6296296296296297,0.0,0.37037037037037035,0.6296296296296297
Torterra,2,0.01,36.36,4,7,0,11,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364
Arceus Vulpix,20,0.09,35.53,27,48,1,76,0.631578947368421,0.013157894736842105,0.36,0.64
Blastoise,17,0.07,34.85,23,41,2,66,0.6212121212121212,0.030303030303030304,0.359375,0.640625
Tyranitar,3,0.01,35.71,5,9,0,14,0.6428571428571429,0.0,0.35714285714285715,0.6428571428571429
Palafin,37,0.16,34.01,50,91,6,147,0.6190476190476191,0.04081632653061224,0.3546099290780142,0.6453900709219859
Torterra,8,0.03,31.82,7,14,1,22,0.6363636363636364,0.045454545454545456,0.3333333333333333,0.6666666666666666
Steelix,3,0.01,33.33,4,8,0,12,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Regigigas,1,0.0,33.33,1,2,0,3,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Palafin LZ Box,2,0.01,33.33,2,4,0,6,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Tinkaton,28,0.12,31.25,35,70,7,112,0.625,0.0625,0.3333333333333333,0.6666666666666666
Koraidon,3,0.01,33.33,4,8,0,12,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Tsareena,81,0.35,31.41,98,202,12,312,0.6474358974358975,0.038461538461538464,0.32666666666666666,0.6733333333333333
Raging Bolt,5,0.02,31.58,6,13,0,19,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Alakazam,21,0.09,31.58,24,52,0,76,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Arceus Charizard,16,0.07,31.58,24,52,0,76,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Banette,26,0.11,30.49,25,55,2,82,0.6707317073170732,0.024390243902439025,0.3125,0.6875
United Wings,9,0.04,30.56,11,25,0,36,0.6944444444444444,0.0,0.3055555555555556,0.6944444444444444
Meowscarada,10,0.04,28.57,10,24,1,35,0.6857142857142857,0.02857142857142857,0.29411764705882354,0.7058823529411765
Forretress,3,0.01,27.27,3,8,0,11,0.7272727272727273,0.0,0.2727272727272727,0.7272727272727273
Cofagrigus,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Dialga LZ,2,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Kyurem,3,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Entei,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Arcanine,10,0.04,21.62,8,28,1,37,0.7567567567567568,0.02702702702702703,0.2222222222222222,0.7777777777777778
Spidops,5,0.02,14.29,2,12,0,14,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571
Snorlax,2,0.01,12.5,1,7,0,8,0.875,0.0,0.125,0.875
Hisuian Goodra,5,0.02,0.0,0,13,1,14,0.9285714285714286,0.07142857142857142,0.0,1.0
Charizard LZ Box,3,0.01,0.0,0,3,0,3,1.0,0.0,0.0,1.0
Glimmora,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
Pachirisu Honchkrow,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
Darkrai,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
