Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Iron Valiant,6,0.04,65.52,19,9,1,29,0.3103448275862069,0.034482758620689655,0.6785714285714286,0.32142857142857145
Snorlax Pidgeot,11,0.08,57.75,41,20,10,71,0.28169014084507044,0.14084507042253522,0.6721311475409836,0.32786885245901637
Banette Gardevoir,24,0.17,59.17,71,43,6,120,0.35833333333333334,0.05,0.6228070175438597,0.37719298245614036
Entei Iron Valiant,7,0.05,56.25,27,18,3,48,0.375,0.0625,0.6,0.4
Raging Bolt Palkia,3,0.02,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855
Toedscruel,11,0.08,55.56,30,23,1,54,0.42592592592592593,0.018518518518518517,0.5660377358490566,0.4339622641509434
Scizor,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Goodra LZ Box,33,0.24,54.11,79,65,2,146,0.4452054794520548,0.0136986301369863,0.5486111111111112,0.4513888888888889
Snorlax Stall,415,3.02,49.06,944,823,157,1924,0.42775467775467774,0.0816008316008316,0.5342388228636107,0.46576117713638937
Gardevoir,1661,12.09,50.01,3981,3496,484,7961,0.43914081145584727,0.06079638236402462,0.5324327939012973,0.46756720609870267
Dragapult LZ Box,379,2.76,51.54,955,839,59,1853,0.452779276848354,0.03184025903939557,0.532329988851728,0.467670011148272
Charizard Greninja,16,0.12,50.6,42,37,4,83,0.4457831325301205,0.04819277108433735,0.5316455696202531,0.46835443037974683
Dragapult Charizard,245,1.78,50.83,643,567,55,1265,0.4482213438735178,0.043478260869565216,0.531404958677686,0.46859504132231405
Lost Zone Box,823,5.99,51.27,1972,1755,119,3846,0.45631825273010923,0.03094123764950598,0.5291118862355783,0.4708881137644218
Lugia Archeops,1245,9.06,51.3,2970,2698,122,5790,0.46597582037996543,0.021070811744386873,0.5239943542695836,0.47600564573041637
Arceus Goodra,7,0.05,52.38,22,20,0,42,0.47619047619047616,0.0,0.5238095238095238,0.47619047619047616
Lost Box Charizard,162,1.18,49.73,369,337,36,742,0.45417789757412397,0.04851752021563342,0.5226628895184136,0.4773371104815864
Arceus Giratina,37,0.27,51.23,83,77,2,162,0.47530864197530864,0.012345679012345678,0.51875,0.48125
Future Thorns,102,0.74,50.44,229,216,9,454,0.47577092511013214,0.019823788546255508,0.5146067415730337,0.4853932584269663
Ancient Box,342,2.49,49.74,768,727,49,1544,0.47085492227979275,0.03173575129533679,0.5137123745819397,0.4862876254180602
Gholdengo,247,1.8,50.09,581,551,28,1160,0.475,0.02413793103448276,0.5132508833922261,0.48674911660777387
Regidrago Box,521,3.79,50.19,1178,1125,44,2347,0.47933532168726034,0.018747337025990626,0.5115067303517151,0.4884932696482848
Ting-Lu,9,0.07,50.0,24,23,1,48,0.4791666666666667,0.020833333333333332,0.5106382978723404,0.48936170212765956
Giratina LZ Box,207,1.51,49.84,458,444,17,919,0.48313384113166485,0.018498367791077257,0.5077605321507761,0.49223946784922396
Raging Bolt Ogerpon,1482,10.79,49.62,3381,3285,148,6814,0.4820956853536836,0.021719988259465806,0.5072007200720072,0.4927992799279928
Iron Thorns,217,1.58,49.61,513,499,22,1034,0.4825918762088975,0.02127659574468085,0.5069169960474308,0.49308300395256915
Miraidon,443,3.22,49.35,991,983,34,2008,0.4895418326693227,0.01693227091633466,0.5020263424518744,0.4979736575481256
Magnezone,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Raging Bolt Sandy Shocks,1,0.01,50.0,1,1,0,2,0.5,0.0,0.5,0.5
Espathra,5,0.04,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Pidgeot Control,278,2.02,47.32,565,565,64,1194,0.4731993299832496,0.05360134003350084,0.5,0.5
Steelix Dodrio,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Palafin LZ Box,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Arceus Armarouge,43,0.31,48.37,89,90,5,184,0.4891304347826087,0.02717391304347826,0.4972067039106145,0.5027932960893855
Charizard Pidgeot,592,4.31,47.77,1336,1354,107,2797,0.4840900965319986,0.03825527350732928,0.4966542750929368,0.5033457249070632
Dragapult,872,6.35,48.1,1897,1930,117,3944,0.4893509127789047,0.02966531440162272,0.4956885288737915,0.5043114711262086
Roaring Moon,88,0.64,48.21,189,200,3,392,0.5102040816326531,0.007653061224489796,0.48586118251928023,0.5141388174807198
Arceus Aerodactyl,15,0.11,46.75,36,39,2,77,0.5064935064935064,0.025974025974025976,0.48,0.52
Dialga Metang,194,1.41,46.89,415,453,17,885,0.511864406779661,0.0192090395480226,0.478110599078341,0.521889400921659
Roaring Moon Dudunsparce,53,0.39,46.05,105,115,8,228,0.5043859649122807,0.03508771929824561,0.4772727272727273,0.5227272727272727
Gouging Fire,53,0.39,46.97,93,103,2,198,0.5202020202020202,0.010101010101010102,0.4744897959183674,0.5255102040816326
Ogerpon,22,0.16,46.81,44,49,1,94,0.5212765957446809,0.010638297872340425,0.4731182795698925,0.5268817204301075
Giratina,3,0.02,47.06,8,9,0,17,0.5294117647058824,0.0,0.47058823529411764,0.5294117647058824
Turbo Roaring Moon,102,0.74,46.15,198,225,6,429,0.5244755244755245,0.013986013986013986,0.46808510638297873,0.5319148936170213
Klawf Electrode,14,0.1,45.31,29,33,2,64,0.515625,0.03125,0.46774193548387094,0.532258064516129
Clefairy,4,0.03,46.67,7,8,0,15,0.5333333333333333,0.0,0.4666666666666667,0.5333333333333333
Chien-Pao Baxcalibur,396,2.88,45.45,794,916,37,1747,0.524327418431597,0.021179164281625643,0.464327485380117,0.5356725146198831
Future Hands,230,1.67,45.21,462,539,21,1022,0.5273972602739726,0.02054794520547945,0.46153846153846156,0.5384615384615384
Sinistcha Ogerpon,58,0.42,45.63,115,135,2,252,0.5357142857142857,0.007936507936507936,0.46,0.54
Garchomp,11,0.08,43.59,17,20,2,39,0.5128205128205128,0.05128205128205128,0.4594594594594595,0.5405405405405406
Luxray,47,0.34,44.76,94,113,3,210,0.5380952380952381,0.014285714285714285,0.45410628019323673,0.5458937198067633
Greninja,264,1.92,44.22,493,602,20,1115,0.5399103139013453,0.017937219730941704,0.4502283105022831,0.5497716894977169
Spidops Venomoth,7,0.05,45.0,9,11,0,20,0.55,0.0,0.45,0.55
Palkia,30,0.22,44.0,55,68,2,125,0.544,0.016,0.44715447154471544,0.5528455284552846
Other,793,5.77,42.84,1391,1753,103,3247,0.539882968894364,0.0317215891592239,0.44243002544529264,0.5575699745547074
Arceus Regidrago,11,0.08,43.9,18,23,0,41,0.5609756097560976,0.0,0.43902439024390244,0.5609756097560976
Feraligatr,3,0.02,43.75,7,9,0,16,0.5625,0.0,0.4375,0.5625
Raging Bolt LZ Box,15,0.11,41.67,30,39,3,72,0.5416666666666666,0.041666666666666664,0.43478260869565216,0.5652173913043478
Conkeldurr,10,0.07,43.14,22,29,0,51,0.5686274509803921,0.0,0.43137254901960786,0.5686274509803921
Arceus,53,0.39,40.76,86,117,8,211,0.5545023696682464,0.037914691943127965,0.4236453201970443,0.5763546798029556
Great Tusk Mill,72,0.52,40.7,116,160,9,285,0.5614035087719298,0.031578947368421054,0.42028985507246375,0.5797101449275363
Blissey,162,1.18,40.53,274,380,22,676,0.5621301775147929,0.03254437869822485,0.41896024464831805,0.581039755351682
Iron Valiant Xatu,2,0.01,41.67,5,7,0,12,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
Miraidon Regieleki,36,0.26,40.49,66,94,3,163,0.5766871165644172,0.018404907975460124,0.4125,0.5875
Hisuian Samurott,5,0.04,38.89,7,10,1,18,0.5555555555555556,0.05555555555555555,0.4117647058823529,0.5882352941176471
