Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Snorlax Pidgeot,39,0.15,54.13,118,73,27,218,0.3348623853211009,0.12385321100917432,0.6178010471204188,0.38219895287958117
Mewtwo,1,0.0,57.14,4,3,0,7,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855
Raging Bolt Palkia,3,0.01,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855
Giratina,7,0.03,52.94,18,14,2,34,0.4117647058823529,0.058823529411764705,0.5625,0.4375
Raging Bolt Sandy Shocks,4,0.01,56.25,9,7,0,16,0.4375,0.0,0.5625,0.4375
Snorlax Stall,840,3.15,50.6,2020,1655,317,3992,0.4145791583166333,0.07940881763527054,0.5496598639455782,0.45034013605442175
Goodra LZ Box,74,0.28,52.21,177,151,11,339,0.44542772861356933,0.032448377581120944,0.5396341463414634,0.4603658536585366
Giratina LZ Box,418,1.57,52.46,1004,872,38,1914,0.4555903866248694,0.019853709508881923,0.535181236673774,0.464818763326226
Banette Gardevoir,75,0.28,51.14,179,157,14,350,0.44857142857142857,0.04,0.5327380952380952,0.46726190476190477
Entei Iron Valiant,29,0.11,51.33,77,68,5,150,0.4533333333333333,0.03333333333333333,0.5310344827586206,0.4689655172413793
Ancient Box,746,2.8,50.93,1777,1610,102,3489,0.46145027228432217,0.029234737747205503,0.5246530853262474,0.47534691467375256
Gardevoir,3188,11.95,49.21,7385,6738,885,15008,0.44896055437100213,0.058968550106609806,0.5229058981802733,0.47709410181972667
Lugia Archeops,2089,7.83,51.08,4976,4565,201,9742,0.4685896119893246,0.0206323136932868,0.5215386227858715,0.4784613772141285
Regidrago Box,1585,5.94,51.06,3794,3494,142,7430,0.4702557200538358,0.01911170928667564,0.5205817782656421,0.47941822173435783
Gouging Fire,130,0.49,51.53,286,264,5,555,0.4756756756756757,0.009009009009009009,0.52,0.48
Iron Thorns,370,1.39,50.75,884,820,38,1742,0.4707233065442021,0.021814006888633754,0.5187793427230047,0.4812206572769953
Pidgeot Control,507,1.9,48.59,1086,1011,138,2235,0.45234899328859063,0.06174496644295302,0.5178826895565093,0.4821173104434907
Lost Zone Box,1621,6.08,50.24,3734,3496,202,7432,0.4703982777179763,0.027179763186221746,0.5164591977869987,0.4835408022130014
Dragapult LZ Box,517,1.94,50.1,1235,1157,73,2465,0.4693711967545639,0.029614604462474645,0.5163043478260869,0.483695652173913
Turbo Roaring Moon,375,1.41,50.42,836,797,25,1658,0.4806996381182147,0.015078407720144753,0.5119412124923454,0.48805878750765463
Lost Box Charizard,409,1.53,49.29,934,893,68,1895,0.4712401055408971,0.035883905013192614,0.5112205801860974,0.48877941981390255
Raging Bolt Ogerpon,2398,8.99,49.95,5541,5326,226,11093,0.48012259983773553,0.02037320832957721,0.5098923345909635,0.49010766540903655
Arceus Giratina,55,0.21,50.0,122,119,3,244,0.48770491803278687,0.012295081967213115,0.5062240663900415,0.49377593360995853
Gholdengo,501,1.88,49.62,1168,1141,45,2354,0.4847068819031436,0.019116397621070518,0.5058466868774362,0.4941533131225639
Future Thorns,163,0.61,49.63,336,330,11,677,0.4874446085672083,0.01624815361890694,0.5045045045045045,0.4954954954954955
Miraidon,872,3.27,49.55,1923,1895,63,3881,0.48827621746972427,0.01623292965730482,0.5036668412781561,0.4963331587218439
Dragapult,1393,5.22,48.9,3082,3047,174,6303,0.48342059336823734,0.02760590195145169,0.5028552781856747,0.49714472181432534
Dragapult Charizard,514,1.93,48.35,1186,1181,86,2453,0.4814512841418671,0.03505911129229515,0.501056189269117,0.49894381073088295
Espathra,5,0.02,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Magnezone,1,0.0,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Toedscruel,117,0.44,49.01,247,247,10,504,0.49007936507936506,0.01984126984126984,0.5,0.5
Iron Valiant,38,0.14,48.41,76,78,3,157,0.4968152866242038,0.01910828025477707,0.4935064935064935,0.5064935064935064
Charizard Pidgeot,1443,5.41,47.78,3128,3222,197,6547,0.49213380174125554,0.030090117611119595,0.4925984251968504,0.5074015748031496
Ogerpon,39,0.15,48.24,82,86,2,170,0.5058823529411764,0.011764705882352941,0.4880952380952381,0.5119047619047619
Charizard Greninja,25,0.09,46.61,55,58,5,118,0.4915254237288136,0.0423728813559322,0.48672566371681414,0.5132743362831859
Dialga Metang,292,1.09,47.15,628,681,23,1332,0.5112612612612613,0.017267267267267267,0.479755538579068,0.5202444614209321
Palkia,67,0.25,46.88,135,148,5,288,0.5138888888888888,0.017361111111111112,0.47703180212014135,0.5229681978798587
Sinistcha Ogerpon,81,0.3,47.11,179,198,3,380,0.5210526315789473,0.007894736842105263,0.47480106100795755,0.5251989389920424
Scizor,8,0.03,47.22,17,19,0,36,0.5277777777777778,0.0,0.4722222222222222,0.5277777777777778
Arceus Aerodactyl,21,0.08,46.23,49,55,2,106,0.5188679245283019,0.018867924528301886,0.47115384615384615,0.5288461538461539
Garchomp,25,0.09,44.44,44,50,5,99,0.5050505050505051,0.050505050505050504,0.46808510638297873,0.5319148936170213
Roaring Moon,112,0.42,46.31,226,257,5,488,0.5266393442622951,0.010245901639344262,0.46790890269151136,0.5320910973084886
Walking Wake,20,0.07,46.15,36,41,1,78,0.5256410256410257,0.01282051282051282,0.4675324675324675,0.5324675324675324
Clefairy,4,0.01,46.67,7,8,0,15,0.5333333333333333,0.0,0.4666666666666667,0.5333333333333333
Roaring Moon Dudunsparce,83,0.31,45.38,167,191,10,368,0.5190217391304348,0.02717391304347826,0.4664804469273743,0.5335195530726257
Arceus Armarouge,73,0.27,45.27,134,154,8,296,0.5202702702702703,0.02702702702702703,0.4652777777777778,0.5347222222222222
Future Hands,367,1.38,45.47,737,854,30,1621,0.526835286859963,0.01850709438618137,0.4632306725329981,0.5367693274670019
Chien-Pao Baxcalibur,916,3.43,45.36,1824,2114,83,4021,0.5257398657050485,0.020641631434966425,0.46317927882173693,0.5368207211782631
Arceus Goodra,10,0.04,45.83,22,26,0,48,0.5416666666666666,0.0,0.4583333333333333,0.5416666666666666
Luxray,103,0.39,45.18,192,227,6,425,0.5341176470588235,0.01411764705882353,0.45823389021479716,0.5417661097852029
Arceus,157,0.59,44.24,307,365,22,694,0.5259365994236311,0.03170028818443804,0.4568452380952381,0.5431547619047619
Klawf Electrode,17,0.06,44.19,38,46,2,86,0.5348837209302325,0.023255813953488372,0.4523809523809524,0.5476190476190477
Greninja,454,1.7,44.36,850,1034,32,1916,0.5396659707724426,0.016701461377870562,0.45116772823779194,0.5488322717622081
Other,1786,6.69,43.72,3322,4083,193,7598,0.5373782574361674,0.025401421426691235,0.4486158001350439,0.5513841998649561
Aegislash,15,0.06,42.62,26,33,2,61,0.5409836065573771,0.03278688524590164,0.4406779661016949,0.559322033898305
Steelix Dodrio,6,0.02,44.0,11,14,0,25,0.56,0.0,0.44,0.56
Gengar,22,0.08,42.59,46,59,3,108,0.5462962962962963,0.027777777777777776,0.4380952380952381,0.5619047619047619
Ting-Lu,18,0.07,42.35,36,47,2,85,0.5529411764705883,0.023529411764705882,0.43373493975903615,0.5662650602409639
Regis,30,0.11,40.68,48,63,7,118,0.5338983050847458,0.059322033898305086,0.43243243243243246,0.5675675675675675
Blissey,226,0.85,41.96,412,541,29,982,0.5509164969450102,0.029531568228105907,0.4323189926547744,0.5676810073452256
Charizard,89,0.33,41.26,144,197,8,349,0.5644699140401146,0.022922636103151862,0.4222873900293255,0.5777126099706745
Espathra Xatu,59,0.22,40.81,91,127,5,223,0.5695067264573991,0.02242152466367713,0.41743119266055045,0.5825688073394495
