Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,95,0.4,54.93,262,189,26,477,0.39622641509433965,0.05450733752620545,0.5809312638580931,0.4190687361419069
Entei Iron Valiant,12,0.05,57.14,36,27,0,63,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855
Lost Box Charizard,417,1.74,55.46,1138,854,60,2052,0.4161793372319688,0.029239766081871343,0.571285140562249,0.428714859437751
Arceus Aerodactyl,20,0.08,54.17,52,41,3,96,0.4270833333333333,0.03125,0.5591397849462365,0.44086021505376344
Snorlax Stall,569,2.38,50.45,1411,1171,215,2797,0.41866285305684664,0.07686807293528782,0.5464756003098373,0.45352439969016267
Pidgeot Control,787,3.29,50.52,1849,1556,255,3660,0.42513661202185793,0.06967213114754098,0.5430249632892805,0.45697503671071954
Hisuian Samurott,10,0.04,53.52,38,32,1,71,0.4507042253521127,0.014084507042253521,0.5428571428571428,0.45714285714285713
Arceus Giratina,837,3.5,52.15,2082,1775,135,3992,0.4446392785571142,0.03381763527054108,0.5397977702877884,0.4602022297122116
Arceus Armarouge,234,0.98,52.9,584,500,20,1104,0.4528985507246377,0.018115942028985508,0.5387453874538746,0.4612546125461255
Lost Zone Box,1047,4.38,51.01,2397,2155,147,4699,0.4586082145137263,0.0312832517556927,0.5265817223198594,0.4734182776801406
Giratina LZ Box,1120,4.68,51.15,2629,2370,141,5140,0.46108949416342415,0.027431906614785992,0.5259051810362072,0.47409481896379274
Arceus Vulpix,300,1.25,51.38,761,689,31,1481,0.46522619851451724,0.020931802835921675,0.5248275862068965,0.47517241379310343
Lugia Archeops,1433,5.99,51.03,3458,3154,165,6777,0.4653976685849196,0.02434705621956618,0.5229885057471264,0.47701149425287354
Gouging Fire,169,0.71,50.97,393,360,18,771,0.4669260700389105,0.023346303501945526,0.5219123505976095,0.47808764940239046
Ting-Lu,89,0.37,50.72,211,194,11,416,0.46634615384615385,0.026442307692307692,0.5209876543209877,0.47901234567901235
Miraidon Regieleki,78,0.33,51.21,190,175,6,371,0.4716981132075472,0.016172506738544475,0.5205479452054794,0.4794520547945205
Arceus,225,0.94,50.3,500,462,32,994,0.4647887323943662,0.03219315895372234,0.5197505197505198,0.4802494802494803
Charizard Pidgeot,3394,14.18,49.19,7825,7490,594,15909,0.47080269030108746,0.037337356213464075,0.5109369898792034,0.4890630101207966
Roaring Moon,153,0.64,49.87,374,359,17,750,0.4786666666666667,0.02266666666666667,0.5102319236016372,0.4897680763983629
Gardevoir,1130,4.72,48.78,2529,2435,221,5185,0.46962391513982643,0.04262295081967213,0.5094681708299759,0.4905318291700242
Gholdengo,506,2.11,48.44,1211,1196,93,2500,0.4784,0.0372,0.5031159119235563,0.4968840880764437
Roaring Moon Dudunsparce,742,3.1,48.86,1634,1620,90,3344,0.48444976076555024,0.026913875598086126,0.5021511985248924,0.49784880147510757
Chien-Pao Baxcalibur,1928,8.06,48.67,4444,4419,268,9131,0.48395575511992117,0.029350564012703976,0.5014103576667043,0.4985896423332957
Future Hands,1901,7.94,49.26,4314,4295,149,8758,0.49040876912537107,0.01701301667047271,0.5011034963410385,0.49889650365896154
Dialga Metang,774,3.23,49.1,1668,1665,64,3397,0.4901383573741537,0.018840153076243746,0.5004500450045004,0.49954995499549953
Espathra,20,0.08,46.59,41,41,6,88,0.4659090909090909,0.06818181818181818,0.5,0.5
Snorlax Pidgeot,93,0.39,45.87,189,190,33,412,0.46116504854368934,0.08009708737864078,0.49868073878627966,0.5013192612137203
Raging Bolt LZ Box,99,0.41,48.86,214,216,8,438,0.4931506849315068,0.0182648401826484,0.49767441860465117,0.5023255813953489
Goodra LZ Box,95,0.4,48.59,224,227,10,461,0.4924078091106291,0.021691973969631236,0.49667405764966743,0.5033259423503326
Ancient Box,1022,4.27,48.12,2282,2345,115,4742,0.4945170814002531,0.024251370729649935,0.49319213313161875,0.5068078668683812
Raging Bolt Sandy Shocks,293,1.22,48.32,617,639,21,1277,0.5003915426781519,0.01644479248238058,0.4912420382165605,0.5087579617834395
Turbo Roaring Moon,145,0.61,48.1,304,315,13,632,0.49841772151898733,0.020569620253164556,0.4911147011308562,0.5088852988691438
Klawf Electrode,13,0.05,47.37,27,28,2,57,0.49122807017543857,0.03508771929824561,0.4909090909090909,0.509090909090909
Espathra Xatu,386,1.61,46.72,876,924,75,1875,0.4928,0.04,0.4866666666666667,0.5133333333333333
Arceus Goodra,70,0.29,47.71,146,154,6,306,0.5032679738562091,0.0196078431372549,0.4866666666666667,0.5133333333333333
Charizard LZ Box,23,0.1,47.87,45,48,1,94,0.5106382978723404,0.010638297872340425,0.4838709677419355,0.5161290322580645
Future Box,239,1.0,47.19,495,544,10,1049,0.5185891325071497,0.009532888465204958,0.4764196342637151,0.5235803657362849
Scizor ex,5,0.02,45.45,10,11,1,22,0.5,0.045454545454545456,0.47619047619047616,0.5238095238095238
Tyranitar,4,0.02,47.62,10,11,0,21,0.5238095238095238,0.0,0.47619047619047616,0.5238095238095238
Garchomp,34,0.14,45.45,60,68,4,132,0.5151515151515151,0.030303030303030304,0.46875,0.53125
Hisuian Zoroark,119,0.5,45.32,208,238,13,459,0.5185185185185185,0.02832244008714597,0.4663677130044843,0.5336322869955157
Charizard,454,1.9,44.93,944,1083,74,2101,0.5154688243693479,0.035221323179438366,0.4657128761716823,0.5342871238283177
Rotom,49,0.2,44.7,97,112,8,217,0.5161290322580645,0.03686635944700461,0.46411483253588515,0.5358851674641149
Arceus Regidrago,63,0.26,44.72,127,151,6,284,0.5316901408450704,0.02112676056338028,0.4568345323741007,0.5431654676258992
Dialga LZ,2,0.01,45.45,5,6,0,11,0.5454545454545454,0.0,0.45454545454545453,0.5454545454545454
Miraidon,103,0.43,43.22,185,239,4,428,0.5584112149532711,0.009345794392523364,0.4363207547169811,0.5636792452830188
Spidops Venomoth,42,0.18,41.9,75,99,5,179,0.553072625698324,0.027932960893854747,0.43103448275862066,0.5689655172413793
Great Tusk Mill,470,1.96,42.23,840,1116,33,1989,0.5610859728506787,0.016591251885369532,0.4294478527607362,0.5705521472392638
Palkia,97,0.41,41.93,161,214,9,384,0.5572916666666666,0.0234375,0.42933333333333334,0.5706666666666667
Arceus Aggron,2,0.01,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Pikachu,1,0.0,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Hisuian Lilligant,1,0.0,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Regis,10,0.04,42.55,20,27,0,47,0.574468085106383,0.0,0.425531914893617,0.574468085106383
Scovillain,66,0.28,41.24,113,153,8,274,0.5583941605839416,0.029197080291970802,0.424812030075188,0.575187969924812
Regidrago Box,77,0.32,41.3,102,141,4,247,0.5708502024291497,0.016194331983805668,0.41975308641975306,0.5802469135802469
Tinkaton,86,0.36,40.51,158,227,5,390,0.5820512820512821,0.01282051282051282,0.4103896103896104,0.5896103896103896
Lucario,8,0.03,40.74,11,16,0,27,0.5925925925925926,0.0,0.4074074074074074,0.5925925925925926
Iron Valiant,9,0.04,40.63,13,19,0,32,0.59375,0.0,0.40625,0.59375
Zeraora,1,0.0,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Charizard Arceus,15,0.06,40.0,20,30,0,50,0.6,0.0,0.4,0.6
Alolan Vulpix,1,0.0,33.33,2,3,1,6,0.5,0.16666666666666666,0.4,0.6
Meowscarada,93,0.39,39.07,159,241,7,407,0.5921375921375921,0.0171990171990172,0.3975,0.6025
Banette,62,0.26,39.07,84,128,3,215,0.5953488372093023,0.013953488372093023,0.39622641509433965,0.6037735849056604
Torterra,56,0.23,38.17,92,143,6,241,0.5933609958506224,0.024896265560165973,0.39148936170212767,0.6085106382978723
Spidops,17,0.07,39.13,27,42,0,69,0.6086956521739131,0.0,0.391304347826087,0.6086956521739131
Dialga,5,0.02,37.5,9,14,1,24,0.5833333333333334,0.041666666666666664,0.391304347826087,0.6086956521739131
Aegislash,17,0.07,36.14,30,47,6,83,0.5662650602409639,0.07228915662650602,0.38961038961038963,0.6103896103896104
Alakazam,72,0.3,37.3,116,184,11,311,0.5916398713826366,0.03536977491961415,0.38666666666666666,0.6133333333333333
Other,904,3.78,36.98,1349,2168,131,3648,0.5942982456140351,0.035910087719298246,0.3835655388114871,0.616434461188513
Walking Wake,16,0.07,38.03,27,44,0,71,0.6197183098591549,0.0,0.38028169014084506,0.6197183098591549
Gothitelle,2,0.01,37.5,3,5,0,8,0.625,0.0,0.375,0.625
Incineroar,103,0.43,36.43,157,266,8,431,0.617169373549884,0.018561484918793503,0.37115839243498816,0.6288416075650118
Giratina,6,0.03,37.04,10,17,0,27,0.6296296296296297,0.0,0.37037037037037035,0.6296296296296297
Iron Valiant Xatu,8,0.03,36.67,11,19,0,30,0.6333333333333333,0.0,0.36666666666666664,0.6333333333333333
