Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Snorlax Pidgeot,34,0.15,54.36,106,63,26,195,0.3230769230769231,0.13333333333333333,0.6272189349112426,0.3727810650887574
Raging Bolt Palkia,3,0.01,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855
Raging Bolt Sandy Shocks,4,0.02,56.25,9,7,0,16,0.4375,0.0,0.5625,0.4375
Scizor,4,0.02,55.0,11,9,0,20,0.45,0.0,0.55,0.45
Snorlax Stall,719,3.22,50.54,1721,1417,267,3405,0.4161527165932452,0.07841409691629955,0.5484384958572339,0.4515615041427661
Banette Gardevoir,57,0.26,51.52,136,116,12,264,0.4393939393939394,0.045454545454545456,0.5396825396825397,0.4603174603174603
Entei Iron Valiant,23,0.1,51.61,64,55,5,124,0.4435483870967742,0.04032258064516129,0.5378151260504201,0.46218487394957986
Giratina LZ Box,359,1.61,52.5,861,743,36,1640,0.4530487804878049,0.02195121951219512,0.536783042394015,0.463216957605985
Ancient Box,640,2.86,51.2,1533,1371,90,2994,0.45791583166332667,0.03006012024048096,0.5278925619834711,0.47210743801652894
Gardevoir,2759,12.35,49.45,6431,5806,768,13005,0.44644367550941944,0.05905420991926182,0.5255373048949906,0.4744626951050094
Arceus Giratina,48,0.21,51.66,109,99,3,211,0.46919431279620855,0.014218009478672985,0.5240384615384616,0.47596153846153844
Regidrago Box,1157,5.18,51.1,2753,2532,102,5387,0.47002041952849455,0.0189344718767403,0.5209082308420057,0.47909176915799434
Lugia Archeops,1787,8.0,50.93,4259,3930,174,8363,0.4699270596675834,0.020805930886045678,0.5200879228232995,0.4799120771767004
Lost Zone Box,1347,6.03,50.51,3143,2907,173,6223,0.46713803631688894,0.027800096416519364,0.519504132231405,0.48049586776859504
Dragapult LZ Box,480,2.15,50.33,1154,1068,71,2293,0.46576537287396425,0.030963802878325338,0.5193519351935193,0.48064806480648065
Pidgeot Control,405,1.81,48.42,875,824,108,1807,0.4560044272274488,0.059767570558937465,0.5150088287227781,0.4849911712772219
Dragapult Charizard,363,1.62,49.39,887,840,69,1796,0.46770601336302897,0.03841870824053452,0.5136074116965836,0.4863925883034163
Charizard Greninja,22,0.1,48.62,53,51,5,109,0.46788990825688076,0.045871559633027525,0.5096153846153846,0.49038461538461536
Goodra LZ Box,56,0.25,49.57,114,110,6,230,0.4782608695652174,0.02608695652173913,0.5089285714285714,0.49107142857142855
Turbo Roaring Moon,281,1.26,50.2,623,602,16,1241,0.48509266720386784,0.0128928283642224,0.5085714285714286,0.49142857142857144
Gouging Fire,105,0.47,50.47,217,210,3,430,0.4883720930232558,0.0069767441860465115,0.5081967213114754,0.4918032786885246
Raging Bolt Ogerpon,2064,9.24,49.76,4728,4586,188,9502,0.48263523468743424,0.01978530835613555,0.5076229332188104,0.4923770667811896
Lost Box Charizard,365,1.63,48.91,827,803,61,1691,0.47486694263749263,0.036073329390892965,0.507361963190184,0.49263803680981594
Gholdengo,428,1.92,49.62,982,960,37,1979,0.4850934815563416,0.01869631126831733,0.505664263645726,0.49433573635427397
Future Thorns,154,0.69,49.6,313,307,11,631,0.4865293185419968,0.017432646592709985,0.5048387096774194,0.49516129032258066
Miraidon,725,3.24,49.52,1603,1576,58,3237,0.4868705591597158,0.01791782514674081,0.5042466184334696,0.49575338156653037
Iron Thorns,287,1.28,49.06,651,649,27,1327,0.48907309721175585,0.020346646571213264,0.5007692307692307,0.49923076923076926
Magnezone,1,0.0,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Palkia,46,0.21,49.02,100,100,4,204,0.49019607843137253,0.0196078431372549,0.5,0.5
Espathra,5,0.02,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Giratina,4,0.02,50.0,10,10,0,20,0.5,0.0,0.5,0.5
Charizard Arceus,2,0.01,50.0,3,3,0,6,0.5,0.0,0.5,0.5
Dragapult,1217,5.45,48.32,2655,2679,161,5495,0.4875341219290264,0.02929936305732484,0.49775028121484816,0.5022497187851519
Iron Valiant,37,0.17,48.72,76,77,3,156,0.4935897435897436,0.019230769230769232,0.49673202614379086,0.5032679738562091
Charizard Pidgeot,1138,5.09,47.92,2509,2559,168,5236,0.4887318563789152,0.03208556149732621,0.4950670876085241,0.504932912391476
Garchomp,22,0.1,46.59,41,43,4,88,0.48863636363636365,0.045454545454545456,0.4880952380952381,0.5119047619047619
Toedscruel,76,0.34,47.47,150,158,8,316,0.5,0.02531645569620253,0.487012987012987,0.512987012987013
Aegislash,9,0.04,48.65,18,19,0,37,0.5135135135135135,0.0,0.4864864864864865,0.5135135135135135
Ogerpon,32,0.14,47.76,64,68,2,134,0.5074626865671642,0.014925373134328358,0.48484848484848486,0.5151515151515151
Dialga Metang,262,1.17,47.07,562,610,22,1194,0.5108877721943048,0.018425460636515914,0.47952218430034127,0.5204778156996587
Ting-Lu,13,0.06,46.27,31,34,2,67,0.5074626865671642,0.029850746268656716,0.47692307692307695,0.5230769230769231
Sinistcha Ogerpon,73,0.33,47.09,162,179,3,344,0.5203488372093024,0.00872093023255814,0.4750733137829912,0.5249266862170088
Arceus Armarouge,66,0.3,46.07,123,136,8,267,0.5093632958801498,0.0299625468164794,0.4749034749034749,0.525096525096525
Future Hands,331,1.48,45.77,666,759,30,1455,0.5216494845360825,0.020618556701030927,0.4673684210526316,0.5326315789473685
Roaring Moon,104,0.47,46.36,210,240,3,453,0.5298013245033113,0.006622516556291391,0.4666666666666667,0.5333333333333333
Klawf Electrode,19,0.09,45.65,42,48,2,92,0.5217391304347826,0.021739130434782608,0.4666666666666667,0.5333333333333333
Chien-Pao Baxcalibur,753,3.37,45.49,1524,1753,73,3350,0.5232835820895523,0.021791044776119404,0.4650595056454074,0.5349404943545926
Roaring Moon Dudunsparce,77,0.34,44.98,148,172,9,329,0.5227963525835866,0.02735562310030395,0.4625,0.5375
Luxray,81,0.36,45.48,166,193,6,365,0.5287671232876713,0.01643835616438356,0.4623955431754875,0.5376044568245125
Arceus Aggron,3,0.01,46.15,6,7,0,13,0.5384615384615384,0.0,0.46153846153846156,0.5384615384615384
Arceus Goodra,10,0.04,45.83,22,26,0,48,0.5416666666666666,0.0,0.4583333333333333,0.5416666666666666
Arceus Aerodactyl,17,0.08,44.58,37,44,2,83,0.5301204819277109,0.024096385542168676,0.4567901234567901,0.5432098765432098
Walking Wake,18,0.08,44.78,30,36,1,67,0.5373134328358209,0.014925373134328358,0.45454545454545453,0.5454545454545454
Other,1470,6.58,43.99,2743,3327,165,6235,0.5336006415396952,0.026463512429831595,0.45189456342668866,0.5481054365733113
Greninja,398,1.78,44.05,737,906,30,1673,0.5415421398684998,0.017931858936043037,0.4485696895922094,0.5514303104077907
Clefairy,5,0.02,42.11,8,10,1,19,0.5263157894736842,0.05263157894736842,0.4444444444444444,0.5555555555555556
Gengar,19,0.09,43.01,40,50,3,93,0.5376344086021505,0.03225806451612903,0.4444444444444444,0.5555555555555556
Blissey,209,0.94,41.98,377,492,29,898,0.5478841870824054,0.03229398663697105,0.43383199079401613,0.5661680092059839
Scovillain,20,0.09,41.58,42,56,3,101,0.5544554455445545,0.0297029702970297,0.42857142857142855,0.5714285714285714
Charizard,81,0.36,41.64,132,177,8,317,0.5583596214511041,0.025236593059936908,0.42718446601941745,0.5728155339805825
Espathra Xatu,56,0.25,41.63,87,118,4,209,0.5645933014354066,0.019138755980861243,0.424390243902439,0.5756097560975609
Arceus,114,0.51,40.99,198,269,16,483,0.556935817805383,0.033126293995859216,0.42398286937901497,0.576017130620985
Raging Bolt LZ Box,29,0.13,40.15,53,74,5,132,0.5606060606060606,0.03787878787878788,0.41732283464566927,0.5826771653543307
Iron Valiant Xatu,2,0.01,41.67,5,7,0,12,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
Conkeldurr,16,0.07,41.46,34,48,0,82,0.5853658536585366,0.0,0.4146341463414634,0.5853658536585366
Great Tusk Mill,106,0.47,40.09,176,251,12,439,0.571753986332574,0.02733485193621868,0.41217798594847777,0.5878220140515222
Hisuian Samurott,5,0.02,38.89,7,10,1,18,0.5555555555555556,0.05555555555555555,0.4117647058823529,0.5882352941176471
Future Box,46,0.21,40.0,66,96,3,165,0.5818181818181818,0.01818181818181818,0.4074074074074074,0.5925925925925926
Feraligatr,9,0.04,39.47,15,22,1,38,0.5789473684210527,0.02631578947368421,0.40540540540540543,0.5945945945945946
Miraidon Regieleki,47,0.21,39.7,79,117,3,199,0.5879396984924623,0.01507537688442211,0.4030612244897959,0.5969387755102041
Lunatone Solrock,7,0.03,35.29,12,18,4,34,0.5294117647058824,0.11764705882352941,0.4,0.6
Rotom,29,0.13,39.66,46,69,1,116,0.5948275862068966,0.008620689655172414,0.4,0.6
Leafeon,1,0.0,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Spidops Venomoth,9,0.04,40.0,10,15,0,25,0.6,0.0,0.4,0.6
Dipplin,152,0.68,39.2,254,382,12,648,0.5895061728395061,0.018518518518518517,0.39937106918238996,0.60062893081761
Hisuian Zoroark,38,0.17,38.35,51,79,3,133,0.5939849624060151,0.022556390977443608,0.3923076923076923,0.6076923076923076
Incineroar,20,0.09,36.9,31,51,2,84,0.6071428571428571,0.023809523809523808,0.3780487804878049,0.6219512195121951
Regis,25,0.11,35.16,32,53,6,91,0.5824175824175825,0.06593406593406594,0.3764705882352941,0.6235294117647059
Arceus Regidrago,16,0.07,37.04,20,34,0,54,0.6296296296296297,0.0,0.37037037037037035,0.6296296296296297
Torterra,2,0.01,36.36,4,7,0,11,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364
Blastoise,16,0.07,35.0,21,37,2,60,0.6166666666666667,0.03333333333333333,0.3620689655172414,0.6379310344827587
Arceus Vulpix,20,0.09,35.53,27,48,1,76,0.631578947368421,0.013157894736842105,0.36,0.64
Tyranitar,3,0.01,35.71,5,9,0,14,0.6428571428571429,0.0,0.35714285714285715,0.6428571428571429
Palafin,37,0.17,34.01,50,91,6,147,0.6190476190476191,0.04081632653061224,0.3546099290780142,0.6453900709219859
Steelix Dodrio,2,0.01,33.33,2,4,0,6,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Torterra,8,0.04,31.82,7,14,1,22,0.6363636363636364,0.045454545454545456,0.3333333333333333,0.6666666666666666
Steelix,3,0.01,33.33,4,8,0,12,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Koraidon,3,0.01,33.33,4,8,0,12,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Palafin LZ Box,2,0.01,33.33,2,4,0,6,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Tinkaton,28,0.13,31.25,35,70,7,112,0.625,0.0625,0.3333333333333333,0.6666666666666666
Regigigas,1,0.0,33.33,1,2,0,3,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Tsareena,80,0.36,31.51,98,201,12,311,0.6463022508038585,0.03858520900321544,0.3277591973244147,0.6722408026755853
Arceus Charizard,16,0.07,31.58,24,52,0,76,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Alakazam,21,0.09,31.58,24,52,0,76,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Raging Bolt,5,0.02,31.58,6,13,0,19,0.6842105263157895,0.0,0.3157894736842105,0.6842105263157895
Banette,25,0.11,30.49,25,55,2,82,0.6707317073170732,0.024390243902439025,0.3125,0.6875
Meowscarada,10,0.04,28.57,10,24,1,35,0.6857142857142857,0.02857142857142857,0.29411764705882354,0.7058823529411765
United Wings,8,0.04,29.03,9,22,0,31,0.7096774193548387,0.0,0.2903225806451613,0.7096774193548387
Forretress,3,0.01,27.27,3,8,0,11,0.7272727272727273,0.0,0.2727272727272727,0.7272727272727273
Dialga LZ,2,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Entei,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Kyurem,3,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Arcanine,10,0.04,21.62,8,28,1,37,0.7567567567567568,0.02702702702702703,0.2222222222222222,0.7777777777777778
Spidops,5,0.02,14.29,2,12,0,14,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571
Snorlax,2,0.01,12.5,1,7,0,8,0.875,0.0,0.125,0.875
Charizard LZ Box,3,0.01,0.0,0,3,0,3,1.0,0.0,0.0,1.0
Hisuian Goodra,5,0.02,0.0,0,13,1,14,0.9285714285714286,0.07142857142857142,0.0,1.0
Glimmora,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
Pachirisu Honchkrow,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
Darkrai,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0
