Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Snorlax Pidgeot,26,0.13,55.77,87,48,21,156,0.3076923076923077,0.1346153846153846,0.6444444444444445,0.35555555555555557
Banette Gardevoir,45,0.23,54.59,119,89,10,218,0.40825688073394495,0.045871559633027525,0.5721153846153846,0.42788461538461536
Raging Bolt Palkia,3,0.02,50.0,4,3,1,8,0.375,0.125,0.5714285714285714,0.42857142857142855
Scizor,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Snorlax Stall,627,3.16,50.93,1530,1241,233,3004,0.41311584553928093,0.07756324900133156,0.5521472392638037,0.44785276073619634
Raging Bolt Sandy Shocks,3,0.02,54.55,6,5,0,11,0.45454545454545453,0.0,0.5454545454545454,0.45454545454545453
Giratina LZ Box,323,1.63,52.01,765,673,33,1471,0.4575118966689327,0.022433718558803536,0.5319888734353269,0.46801112656467314
Gardevoir,2455,12.37,49.5,5756,5184,688,11628,0.4458204334365325,0.05916752665978672,0.5261425959780621,0.4738574040219378
Arceus Giratina,43,0.22,51.85,98,89,2,189,0.4708994708994709,0.010582010582010581,0.5240641711229946,0.47593582887700536
Entei Iron Valiant,16,0.08,50.0,44,40,4,88,0.45454545454545453,0.045454545454545456,0.5238095238095238,0.47619047619047616
Ancient Box,554,2.79,50.68,1302,1188,79,2569,0.46243674581549243,0.030751265083690152,0.5228915662650603,0.4771084337349398
Dragapult Charizard,322,1.62,50.25,820,749,63,1632,0.45894607843137253,0.03860294117647059,0.5226258763543659,0.47737412364563414
Lost Zone Box,1202,6.05,50.7,2823,2586,159,5568,0.4644396551724138,0.028556034482758622,0.5219079312257349,0.47809206877426513
Regidrago Box,954,4.81,51.04,2252,2076,84,4412,0.47053490480507704,0.019038984587488667,0.5203327171903882,0.47966728280961185
Lugia Archeops,1660,8.36,50.86,3944,3646,164,7754,0.4702089244261027,0.02115037400051586,0.5196310935441371,0.480368906455863
Dragapult LZ Box,458,2.31,50.16,1104,1027,70,2201,0.46660608814175375,0.03180372557928214,0.5180666353824496,0.48193336461755043
Gouging Fire,83,0.42,51.16,177,166,3,346,0.4797687861271676,0.008670520231213872,0.5160349854227405,0.4839650145772595
Charizard Greninja,21,0.11,49.07,53,50,5,108,0.46296296296296297,0.046296296296296294,0.5145631067961165,0.4854368932038835
Gholdengo,365,1.84,50.36,850,808,30,1688,0.4786729857819905,0.017772511848341232,0.5126658624849216,0.4873341375150784
Pidgeot Control,361,1.82,47.75,755,732,94,1581,0.4629981024667932,0.05945604048070841,0.50773369199731,0.49226630800269
Future Thorns,140,0.71,49.66,290,283,11,584,0.4845890410958904,0.018835616438356163,0.506108202443281,0.493891797556719
Lost Box Charizard,323,1.63,48.76,727,710,54,1491,0.47619047619047616,0.03621730382293763,0.5059151009046625,0.4940848990953375
Raging Bolt Ogerpon,1884,9.49,49.51,4297,4206,176,8679,0.48461804355340476,0.020278833967046894,0.5053510525696813,0.49464894743031873
Iron Thorns,260,1.31,49.46,598,587,24,1209,0.4855252274607113,0.019851116625310174,0.5046413502109705,0.49535864978902955
Turbo Roaring Moon,218,1.1,49.69,474,466,14,954,0.48846960167714887,0.014675052410901468,0.5042553191489362,0.4957446808510638
Miraidon,650,3.27,49.26,1436,1426,53,2915,0.48919382504288167,0.01818181818181818,0.5017470300489169,0.49825296995108315
Tyranitar,2,0.01,50.0,5,5,0,10,0.5,0.0,0.5,0.5
Giratina,4,0.02,50.0,10,10,0,20,0.5,0.0,0.5,0.5
Magnezone,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Espathra,5,0.03,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Charizard Arceus,2,0.01,50.0,3,3,0,6,0.5,0.0,0.5,0.5
Ogerpon,30,0.15,49.23,64,64,2,130,0.49230769230769234,0.015384615384615385,0.5,0.5
Dragapult,1113,5.61,48.28,2441,2459,156,5056,0.48635284810126583,0.030854430379746837,0.4981632653061224,0.5018367346938776
Toedscruel,57,0.29,48.51,114,115,6,235,0.48936170212765956,0.02553191489361702,0.4978165938864629,0.5021834061135371
Iron Valiant,36,0.18,48.67,73,74,3,150,0.49333333333333335,0.02,0.4965986394557823,0.5034013605442177
Charizard Pidgeot,996,5.02,47.73,2196,2249,156,4601,0.48880678113453596,0.03390567267985221,0.4940382452193476,0.5059617547806524
Garchomp,20,0.1,46.75,36,37,4,77,0.4805194805194805,0.05194805194805195,0.4931506849315068,0.5068493150684932
Goodra LZ Box,54,0.27,48.17,105,108,5,218,0.4954128440366973,0.022935779816513763,0.49295774647887325,0.5070422535211268
Arceus Armarouge,61,0.31,47.6,119,124,7,250,0.496,0.028,0.4897119341563786,0.5102880658436214
Arceus Goodra,8,0.04,48.89,22,23,0,45,0.5111111111111111,0.0,0.4888888888888889,0.5111111111111111
Dialga Metang,238,1.2,47.2,515,556,20,1091,0.5096241979835013,0.01833180568285976,0.480859010270775,0.5191409897292251
Ting-Lu,10,0.05,47.17,25,27,1,53,0.5094339622641509,0.018867924528301886,0.4807692307692308,0.5192307692307693
Luxray,73,0.37,46.87,157,173,5,335,0.5164179104477612,0.014925373134328358,0.47575757575757577,0.5242424242424243
Sinistcha Ogerpon,70,0.35,47.15,157,173,3,333,0.5195195195195195,0.009009009009009009,0.47575757575757577,0.5242424242424243
Arceus Aerodactyl,16,0.08,46.25,37,41,2,80,0.5125,0.025,0.47435897435897434,0.5256410256410257
