Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties,Average Points
Walking Wake,22,0.07,45.98,40,46,1,87,0.5287356321839081,0.011494252873563218,0.46511627906976744,0.5348837209302325,1.3908045977011494
Klawf Electrode,18,0.06,45.56,41,47,2,90,0.5222222222222223,0.022222222222222223,0.4659090909090909,0.5340909090909091,1.3888888888888888
Luxray,112,0.37,45.45,210,246,6,462,0.5324675324675324,0.012987012987012988,0.4605263157894737,0.5394736842105263,1.3766233766233766
Arceus Goodra,10,0.03,45.83,22,26,0,48,0.5416666666666666,0.0,0.4583333333333333,0.5416666666666666,1.375
Roaring Moon Dudunsparce,87,0.28,44.62,170,199,12,381,0.5223097112860893,0.031496062992125984,0.46070460704607047,0.5392953929539296,1.3700787401574803
Future Hands,383,1.25,45.06,757,893,30,1680,0.531547619047619,0.017857142857142856,0.4587878787878788,0.5412121212121213,1.3696428571428572
Chien-Pao Baxcalibur,1035,3.39,44.89,2016,2373,102,4491,0.5283901135604543,0.022712090848363394,0.45933014354066987,0.5406698564593302,1.3694054776219104
Arceus,207,0.68,44.65,409,480,27,916,0.5240174672489083,0.02947598253275109,0.46006749156355453,0.5399325084364455,1.3689956331877728
Arceus Armarouge,84,0.28,44.64,154,183,8,345,0.5304347826086957,0.02318840579710145,0.456973293768546,0.543026706231454,1.3623188405797102
Regis,36,0.12,43.79,67,79,7,153,0.5163398692810458,0.0457516339869281,0.4589041095890411,0.541095890410959,1.3594771241830066
Greninja,496,1.62,44.33,926,1128,35,2089,0.5399712781235041,0.01675442795595979,0.4508276533592989,0.549172346640701,1.3465773097175682
Other,2170,7.11,43.85,4027,4919,237,9183,0.5356637264510509,0.025808559294348252,0.45014531634249944,0.5498546836575006,1.341391702058151
Clefairy,5,0.02,42.11,8,10,1,19,0.5263157894736842,0.05263157894736842,0.4444444444444444,0.5555555555555556,1.3157894736842106
Gengar,22,0.07,42.59,46,59,3,108,0.5462962962962963,0.027777777777777776,0.4380952380952381,0.5619047619047619,1.3055555555555556
Ting-Lu,18,0.06,42.35,36,47,2,85,0.5529411764705883,0.023529411764705882,0.43373493975903615,0.5662650602409639,1.2941176470588236
Garchomp,30,0.1,41.23,47,61,6,114,0.5350877192982456,0.05263157894736842,0.4351851851851852,0.5648148148148148,1.2894736842105263
Blissey,234,0.77,41.86,424,560,29,1013,0.5528134254689042,0.028627838104639685,0.43089430894308944,0.5691056910569106,1.284304047384008
Raging Bolt LZ Box,31,0.1,41.43,58,77,5,140,0.55,0.03571428571428571,0.42962962962962964,0.5703703703703704,1.2785714285714285
Aegislash,16,0.05,41.27,26,35,2,63,0.5555555555555556,0.031746031746031744,0.4262295081967213,0.5737704918032787,1.2698412698412698
Palafin,60,0.2,41.02,105,141,10,256,0.55078125,0.0390625,0.4268292682926829,0.573170731707317,1.26953125
Steelix Dodrio,7,0.02,42.31,11,15,0,26,0.5769230769230769,0.0,0.4230769230769231,0.5769230769230769,1.2692307692307692
Scovillain,32,0.1,41.1,67,93,3,163,0.5705521472392638,0.018404907975460124,0.41875,0.58125,1.2515337423312884
Iron Valiant Xatu,2,0.01,41.67,5,7,0,12,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334,1.25
Great Tusk Mill,128,0.42,40.79,217,302,13,532,0.5676691729323309,0.02443609022556391,0.41811175337186895,0.581888246628131,1.2481203007518797
Espathra Xatu,59,0.19,40.81,91,127,5,223,0.5695067264573991,0.02242152466367713,0.41743119266055045,0.5825688073394495,1.2466367713004485
Rotom,48,0.16,41.23,87,123,1,211,0.5829383886255924,0.004739336492890996,0.4142857142857143,0.5857142857142857,1.2417061611374407
Charizard,116,0.38,40.7,186,263,8,457,0.5754923413566739,0.0175054704595186,0.4142538975501114,0.5857461024498887,1.2385120350109409
Banette,46,0.15,40.14,59,83,5,147,0.564625850340136,0.034013605442176874,0.4154929577464789,0.5845070422535211,1.2380952380952381
Arceus Aggron,5,0.02,41.18,7,10,0,17,0.5882352941176471,0.0,0.4117647058823529,0.5882352941176471,1.2352941176470589
Hisuian Samurott,5,0.02,38.89,7,10,1,18,0.5555555555555556,0.05555555555555555,0.4117647058823529,0.5882352941176471,1.2222222222222223
Spidops Venomoth,10,0.03,40.0,12,18,0,30,0.6,0.0,0.4,0.6,1.2
Leafeon,1,0.0,40.0,2,3,0,5,0.6,0.0,0.4,0.6,1.2
Miraidon Regieleki,53,0.17,38.74,86,129,7,222,0.581081081081081,0.03153153153153153,0.4,0.6,1.1936936936936937
Dipplin,196,0.64,38.43,319,494,17,830,0.5951807228915663,0.020481927710843374,0.3923739237392374,0.6076260762607626,1.1734939759036145
Arceus Regidrago,17,0.06,38.6,22,35,0,57,0.6140350877192983,0.0,0.38596491228070173,0.6140350877192983,1.1578947368421053
Future Box,54,0.18,37.82,73,116,4,193,0.6010362694300518,0.02072538860103627,0.3862433862433862,0.6137566137566137,1.1554404145077721
Incineroar,21,0.07,37.36,34,55,2,91,0.6043956043956044,0.02197802197802198,0.38202247191011235,0.6179775280898876,1.1428571428571428
Tinkaton,41,0.13,35.5,60,101,8,169,0.5976331360946746,0.047337278106508875,0.37267080745341613,0.6273291925465838,1.1124260355029585
Hisuian Zoroark,47,0.15,36.02,58,99,4,161,0.6149068322981367,0.024844720496894408,0.36942675159235666,0.6305732484076433,1.1055900621118013
Torterra,2,0.01,36.36,4,7,0,11,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364,1.0909090909090908
Conkeldurr,33,0.11,35.81,53,94,1,148,0.6351351351351351,0.006756756756756757,0.36054421768707484,0.6394557823129252,1.0810810810810811
Lunatone Solrock,11,0.04,33.33,18,32,4,54,0.5925925925925926,0.07407407407407407,0.36,0.64,1.0740740740740742
Tyranitar,3,0.01,35.71,5,9,0,14,0.6428571428571429,0.0,0.35714285714285715,0.6428571428571429,1.0714285714285714
United Wings,30,0.1,35.64,36,65,0,101,0.6435643564356436,0.0,0.3564356435643564,0.6435643564356436,1.0693069306930694
Blastoise,22,0.07,34.83,31,56,2,89,0.6292134831460674,0.02247191011235955,0.3563218390804598,0.6436781609195402,1.0674157303370786
Feraligatr,13,0.04,34.0,17,31,2,50,0.62,0.04,0.3541666666666667,0.6458333333333334,1.06
Arceus Charizard,19,0.06,35.11,33,61,0,94,0.648936170212766,0.0,0.35106382978723405,0.648936170212766,1.053191489361702
Torterra,15,0.05,34.09,15,28,1,44,0.6363636363636364,0.022727272727272728,0.3488372093023256,0.6511627906976745,1.0454545454545454
Arceus Vulpix,23,0.08,34.12,29,55,1,85,0.6470588235294118,0.011764705882352941,0.34523809523809523,0.6547619047619048,1.035294117647059
Tsareena,91,0.3,32.76,115,224,12,351,0.6381766381766382,0.03418803418803419,0.3392330383480826,0.6607669616519174,1.017094017094017
Palafin LZ Box,2,0.01,33.33,2,4,0,6,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0
Steelix,3,0.01,33.33,4,8,0,12,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0
Regigigas,1,0.0,33.33,1,2,0,3,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0
Raging Bolt,8,0.03,33.33,11,22,0,33,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,1.0
Meowscarada,13,0.04,31.91,15,30,2,47,0.6382978723404256,0.0425531914893617,0.3333333333333333,0.6666666666666666,1.0
Alakazam,24,0.08,32.58,29,59,1,89,0.6629213483146067,0.011235955056179775,0.32954545454545453,0.6704545454545454,0.9887640449438202
Charizard LZ Box,7,0.02,28.57,4,9,1,14,0.6428571428571429,0.07142857142857142,0.3076923076923077,0.6923076923076923,0.9285714285714286
Koraidon,6,0.02,30.43,7,16,0,23,0.6956521739130435,0.0,0.30434782608695654,0.6956521739130435,0.9130434782608695
Kyurem,5,0.02,30.0,3,7,0,10,0.7,0.0,0.3,0.7,0.9
Forretress,5,0.02,30.0,6,14,0,20,0.7,0.0,0.3,0.7,0.9
Charizard Arceus,4,0.01,27.27,3,8,0,11,0.7272727272727273,0.0,0.2727272727272727,0.7272727272727273,0.8181818181818182
Spidops,14,0.05,27.08,13,35,0,48,0.7291666666666666,0.0,0.2708333333333333,0.7291666666666666,0.8125
Hisuian Goodra,7,0.02,23.08,6,18,2,26,0.6923076923076923,0.07692307692307693,0.25,0.75,0.7692307692307693
Arcanine,12,0.04,24.44,11,33,1,45,0.7333333333333333,0.022222222222222223,0.25,0.75,0.7555555555555555
Dialga Magnezone,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75,0.75
Entei,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75,0.75
Gothitelle,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75,0.75
Cofagrigus,1,0.0,25.0,1,3,0,4,0.75,0.0,0.25,0.75,0.75
Dialga LZ,2,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75,0.75
Glimmora,4,0.01,23.53,4,13,0,17,0.7647058823529411,0.0,0.23529411764705882,0.7647058823529411,0.7058823529411765
Darkrai,2,0.01,14.29,1,6,0,7,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,0.42857142857142855
Snorlax,2,0.01,12.5,1,7,0,8,0.875,0.0,0.125,0.875,0.375
Pachirisu Honchkrow,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0,0.0
Kyurem Palkia,1,0.0,0.0,0,2,0,2,1.0,0.0,0.0,1.0,0.0
