Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Snorlax Pidgeot,3,0.03,52.63,10,5,4,19,0.2631578947368421,0.21052631578947367,0.6666666666666666,0.3333333333333333
Banette Gardevoir,18,0.18,59.34,54,31,6,91,0.34065934065934067,0.06593406593406594,0.6352941176470588,0.36470588235294116
Arceus Goodra,5,0.05,58.82,20,14,0,34,0.4117647058823529,0.0,0.5882352941176471,0.4117647058823529
Raging Bolt Palkia,2,0.02,57.14,4,3,0,7,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855
Scizor,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Goodra LZ Box,21,0.21,53.33,48,40,2,90,0.4444444444444444,0.022222222222222223,0.5454545454545454,0.45454545454545453
Entei Iron Valiant,3,0.03,52.17,12,10,1,23,0.43478260869565216,0.043478260869565216,0.5454545454545454,0.45454545454545453
Lost Zone Box,533,5.39,53.11,1348,1125,65,2538,0.4432624113475177,0.0256107171000788,0.545086938940558,0.45491306105944196
Gardevoir,1107,11.2,50.42,2719,2347,327,5393,0.43519376970146484,0.06063415538661227,0.5367153572838531,0.4632846427161469
Dragapult Charizard,184,1.86,51.04,491,430,41,962,0.446985446985447,0.04261954261954262,0.5331161780673181,0.46688382193268185
Charizard Greninja,16,0.16,50.6,42,37,4,83,0.4457831325301205,0.04819277108433735,0.5316455696202531,0.46835443037974683
Lost Box Charizard,118,1.19,50.72,281,251,22,554,0.45306859205776173,0.039711191335740074,0.5281954887218046,0.4718045112781955
Dragapult LZ Box,325,3.29,51.05,804,721,50,1575,0.4577777777777778,0.031746031746031744,0.5272131147540984,0.4727868852459016
Giratina LZ Box,162,1.64,51.47,386,350,14,750,0.4666666666666667,0.018666666666666668,0.5244565217391305,0.47554347826086957
Arceus Giratina,33,0.33,51.43,72,66,2,140,0.4714285714285714,0.014285714285714285,0.5217391304347826,0.4782608695652174
Lugia Archeops,1013,10.25,50.96,2408,2218,99,4725,0.4694179894179894,0.02095238095238095,0.5205361003026373,0.47946389969736275
Future Thorns,70,0.71,50.61,166,153,9,328,0.46646341463414637,0.027439024390243903,0.5203761755485894,0.47962382445141066
Iron Thorns,164,1.66,50.76,400,372,16,788,0.4720812182741117,0.02030456852791878,0.5181347150259067,0.48186528497409326
Regidrago Box,285,2.88,50.23,667,635,26,1328,0.47816265060240964,0.01957831325301205,0.5122887864823349,0.4877112135176651
Ting-Lu,9,0.09,50.0,24,23,1,48,0.4791666666666667,0.020833333333333332,0.5106382978723404,0.48936170212765956
Snorlax Stall,295,2.98,46.97,635,610,107,1352,0.4511834319526627,0.07914201183431953,0.5100401606425703,0.4899598393574297
Raging Bolt Ogerpon,1174,11.88,49.89,2717,2613,116,5446,0.47980168931325745,0.02130003672420125,0.5097560975609756,0.4902439024390244
Gholdengo,172,1.74,50.0,393,378,15,786,0.48091603053435117,0.019083969465648856,0.5097276264591439,0.490272373540856
Ancient Box,202,2.04,49.25,457,444,27,928,0.47844827586206895,0.029094827586206896,0.5072142064372919,0.49278579356270813
Arceus Armarouge,40,0.4,49.43,86,84,4,174,0.4827586206896552,0.022988505747126436,0.5058823529411764,0.49411764705882355
Charizard Pidgeot,400,4.05,48.33,926,919,71,1916,0.47964509394572025,0.037056367432150315,0.5018970189701897,0.4981029810298103
Miraidon,307,3.11,49.23,669,666,24,1359,0.4900662251655629,0.017660044150110375,0.501123595505618,0.49887640449438203
Toedscruel,5,0.05,50.0,12,12,0,24,0.5,0.0,0.5,0.5
Steelix Dodrio,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Raging Bolt Sandy Shocks,1,0.01,50.0,1,1,0,2,0.5,0.0,0.5,0.5
Iron Valiant,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Spidops Venomoth,2,0.02,50.0,1,1,0,2,0.5,0.0,0.5,0.5
Espathra,5,0.05,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Dragapult,667,6.75,48.37,1458,1470,86,3014,0.4877239548772396,0.028533510285335104,0.4979508196721312,0.5020491803278688
Roaring Moon,77,0.78,49.42,170,172,2,344,0.5,0.005813953488372093,0.49707602339181284,0.5029239766081871
Arceus Aerodactyl,14,0.14,47.89,34,35,2,71,0.49295774647887325,0.028169014084507043,0.4927536231884058,0.5072463768115942
Pidgeot Control,196,1.98,46.68,387,404,38,829,0.4873341375150784,0.045838359469240045,0.4892541087231353,0.5107458912768648
Ogerpon,21,0.21,47.83,44,47,1,92,0.5108695652173914,0.010869565217391304,0.4835164835164835,0.5164835164835165
Gouging Fire,50,0.51,47.64,91,98,2,191,0.5130890052356021,0.010471204188481676,0.48148148148148145,0.5185185185185185
Luxray,33,0.33,46.41,71,79,3,153,0.5163398692810458,0.0196078431372549,0.47333333333333333,0.5266666666666666
Dialga Metang,152,1.54,46.59,321,358,10,689,0.5195936139332366,0.01451378809869376,0.4727540500736377,0.5272459499263623
Chien-Pao Baxcalibur,250,2.53,46.36,528,589,22,1139,0.5171202809482002,0.019315188762071993,0.4726947179946285,0.5273052820053715
Turbo Roaring Moon,52,0.53,46.82,103,115,2,220,0.5227272727272727,0.00909090909090909,0.4724770642201835,0.5275229357798165
Giratina,3,0.03,47.06,8,9,0,17,0.5294117647058824,0.0,0.47058823529411764,0.5294117647058824
Sinistcha Ogerpon,50,0.51,46.51,100,113,2,215,0.5255813953488372,0.009302325581395349,0.4694835680751174,0.5305164319248826
Klawf Electrode,10,0.1,44.68,21,24,2,47,0.5106382978723404,0.0425531914893617,0.4666666666666667,0.5333333333333333
Raging Bolt LZ Box,11,0.11,43.4,23,28,2,53,0.5283018867924528,0.03773584905660377,0.45098039215686275,0.5490196078431373
Conkeldurr,9,0.09,44.9,22,27,0,49,0.5510204081632653,0.0,0.4489795918367347,0.5510204081632653
Palkia,25,0.25,44.33,43,53,1,97,0.5463917525773195,0.010309278350515464,0.4479166666666667,0.5520833333333334
Future Hands,152,1.54,43.67,290,365,9,664,0.5496987951807228,0.01355421686746988,0.44274809160305345,0.5572519083969466
Greninja,224,2.27,43.53,404,511,13,928,0.5506465517241379,0.014008620689655173,0.44153005464480877,0.5584699453551912
Lunatone Solrock,5,0.05,35.0,7,9,4,20,0.45,0.2,0.4375,0.5625
Garchomp,8,0.08,40.0,10,13,2,25,0.52,0.08,0.43478260869565216,0.5652173913043478
Miraidon Regieleki,26,0.26,42.62,52,68,2,122,0.5573770491803278,0.01639344262295082,0.43333333333333335,0.5666666666666667
Arceus,27,0.27,41.9,44,58,3,105,0.5523809523809524,0.02857142857142857,0.43137254901960786,0.5686274509803921
Iron Valiant Xatu,1,0.01,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Great Tusk Mill,50,0.51,40.91,81,109,8,198,0.5505050505050505,0.04040404040404041,0.4263157894736842,0.5736842105263158
Other,519,5.25,41.41,856,1155,56,2067,0.5587808417997098,0.027092404450895016,0.42565887618100445,0.5743411238189955
Blissey,135,1.37,41.08,228,308,19,555,0.554954954954955,0.03423423423423423,0.4253731343283582,0.5746268656716418
Arceus Regidrago,9,0.09,42.42,14,19,0,33,0.5757575757575758,0.0,0.42424242424242425,0.5757575757575758
Clefairy,3,0.03,41.67,5,7,0,12,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
Roaring Moon Dudunsparce,34,0.34,41.22,54,76,1,131,0.5801526717557252,0.007633587786259542,0.4153846153846154,0.5846153846153846
Leafeon,1,0.01,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Torterra,1,0.01,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Koraidon,2,0.02,40.0,4,6,0,10,0.6,0.0,0.4,0.6
Hisuian Zoroark,21,0.21,38.36,28,43,2,73,0.589041095890411,0.0273972602739726,0.39436619718309857,0.6056338028169014
Charizard,38,0.38,38.51,57,88,3,148,0.5945945945945946,0.02027027027027027,0.3931034482758621,0.6068965517241379
Espathra Xatu,25,0.25,37.65,32,50,3,85,0.5882352941176471,0.03529411764705882,0.3902439024390244,0.6097560975609756
Blastoise,9,0.09,37.93,11,18,0,29,0.6206896551724138,0.0,0.3793103448275862,0.6206896551724138
Dipplin,90,0.91,36.8,138,230,7,375,0.6133333333333333,0.018666666666666668,0.375,0.625
Rotom,21,0.21,37.18,29,49,0,78,0.6282051282051282,0.0,0.3717948717948718,0.6282051282051282
Gengar,11,0.11,34.04,16,28,3,47,0.5957446808510638,0.06382978723404255,0.36363636363636365,0.6363636363636364
Scovillain,11,0.11,35.29,18,32,1,51,0.6274509803921569,0.0196078431372549,0.36,0.64
Aegislash,5,0.05,35.71,5,9,0,14,0.6428571428571429,0.0,0.35714285714285715,0.6428571428571429
Incineroar,13,0.13,35.09,20,36,1,57,0.631578947368421,0.017543859649122806,0.35714285714285715,0.6428571428571429
Tinkaton,14,0.14,34.43,21,38,2,61,0.6229508196721312,0.03278688524590164,0.3559322033898305,0.6440677966101694
Future Box,18,0.18,35.48,22,40,0,62,0.6451612903225806,0.0,0.3548387096774194,0.6451612903225806
Alakazam,12,0.12,35.42,17,31,0,48,0.6458333333333334,0.0,0.3541666666666667,0.6458333333333334
Torterra,3,0.03,30.77,4,8,1,13,0.6153846153846154,0.07692307692307693,0.3333333333333333,0.6666666666666666
Charizard Arceus,1,0.01,33.33,1,2,0,3,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
Regis,16,0.16,31.58,18,36,3,57,0.631578947368421,0.05263157894736842,0.3333333333333333,0.6666666666666666
Tsareena,23,0.23,29.76,25,56,3,84,0.6666666666666666,0.03571428571428571,0.30864197530864196,0.691358024691358
Arceus Charizard,4,0.04,28.57,4,10,0,14,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143
United Wings,1,0.01,28.57,2,5,0,7,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143
Meowscarada,4,0.04,25.0,4,11,1,16,0.6875,0.0625,0.26666666666666666,0.7333333333333333
Palafin,13,0.13,25.71,9,25,1,35,0.7142857142857143,0.02857142857142857,0.2647058823529412,0.7352941176470589
Forretress,1,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Arceus Vulpix,6,0.06,23.53,4,12,1,17,0.7058823529411765,0.058823529411764705,0.25,0.75
Feraligatr,1,0.01,25.0,1,3,0,4,0.75,0.0,0.25,0.75
Walking Wake,3,0.03,20.0,2,8,0,10,0.8,0.0,0.2,0.8
Arcanine,2,0.02,16.67,1,4,1,6,0.6666666666666666,0.16666666666666666,0.2,0.8
Banette,11,0.11,15.15,5,27,1,33,0.8181818181818182,0.030303030303030304,0.15625,0.84375
Raging Bolt,3,0.03,12.5,1,7,0,8,0.875,0.0,0.125,0.875
Hisuian Goodra,4,0.04,0.0,0,10,1,11,0.9090909090909091,0.09090909090909091,0.0,1.0
Spidops,1,0.01,0.0,0,3,0,3,1.0,0.0,0.0,1.0
Tyranitar,1,0.01,0.0,0,1,0,1,1.0,0.0,0.0,1.0
Kyurem,1,0.01,0.0,0,1,0,1,1.0,0.0,0.0,1.0
