Deck,Count,Share,Win %,Wins,Losses,Ties,Total Games,Loss %,Tie %,Win % excl. ties,Loss % excl. ties
Banette Gardevoir,18,0.17,59.34,54,31,6,91,0.34065934065934067,0.06593406593406594,0.6352941176470588,0.36470588235294116
Snorlax Pidgeot,4,0.04,47.83,11,7,5,23,0.30434782608695654,0.21739130434782608,0.6111111111111112,0.3888888888888889
Arceus Goodra,5,0.05,58.82,20,14,0,34,0.4117647058823529,0.0,0.5882352941176471,0.4117647058823529
Raging Bolt Palkia,2,0.02,57.14,4,3,0,7,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855
Scizor,1,0.01,55.56,5,4,0,9,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444
Lost Zone Box,575,5.5,53.02,1447,1209,73,2729,0.4430194210333456,0.02674972517405643,0.5448042168674698,0.4551957831325301
Goodra LZ Box,24,0.23,53.4,55,46,2,103,0.44660194174757284,0.019417475728155338,0.5445544554455446,0.45544554455445546
Entei Iron Valiant,4,0.04,52.0,13,11,1,25,0.44,0.04,0.5416666666666666,0.4583333333333333
Gardevoir,1188,11.37,50.38,2893,2506,343,5742,0.43643329850226403,0.05973528387321491,0.5358399703648824,0.4641600296351176
Dragapult Charizard,191,1.83,51.35,514,446,41,1001,0.44555444555444557,0.04095904095904096,0.5354166666666667,0.46458333333333335
Charizard Greninja,16,0.15,50.6,42,37,4,83,0.4457831325301205,0.04819277108433735,0.5316455696202531,0.46835443037974683
Lost Box Charizard,125,1.2,50.93,301,266,24,591,0.4500846023688663,0.04060913705583756,0.5308641975308642,0.4691358024691358
Dragapult LZ Box,334,3.2,50.9,823,742,52,1617,0.4588744588744589,0.032158317872603585,0.5258785942492012,0.4741214057507987
Future Thorns,73,0.7,51.03,173,157,9,339,0.4631268436578171,0.02654867256637168,0.5242424242424243,0.47575757575757577
Giratina LZ Box,166,1.59,51.37,394,359,14,767,0.4680573663624511,0.018252933507170794,0.5232403718459495,0.4767596281540505
Lugia Archeops,1045,10.0,51.1,2493,2284,102,4879,0.4681287149005944,0.020905923344947737,0.5218756541762612,0.47812434582373875
Arceus Giratina,34,0.33,51.37,75,69,2,146,0.4726027397260274,0.0136986301369863,0.5208333333333334,0.4791666666666667
Snorlax Stall,315,3.02,47.6,694,648,116,1458,0.4444444444444444,0.07956104252400549,0.5171385991058122,0.4828614008941878
Ancient Box,221,2.12,50.05,511,480,30,1021,0.4701273261508325,0.029382957884427033,0.515640766902119,0.4843592330978809
Gholdengo,186,1.78,50.58,436,410,16,862,0.4756380510440835,0.018561484918793503,0.5153664302600472,0.4846335697399527
Toedscruel,7,0.07,51.52,17,16,0,33,0.48484848484848486,0.0,0.5151515151515151,0.48484848484848486
Iron Thorns,178,1.7,50.3,425,403,17,845,0.47692307692307695,0.020118343195266272,0.5132850241545893,0.4867149758454106
Ting-Lu,9,0.09,50.0,24,23,1,48,0.4791666666666667,0.020833333333333332,0.5106382978723404,0.48936170212765956
Raging Bolt Ogerpon,1209,11.57,49.83,2781,2680,120,5581,0.4802006808815624,0.02150152302454757,0.5092473905878044,0.49075260941219556
Regidrago Box,324,3.1,49.56,733,720,26,1479,0.486815415821501,0.01757944557133198,0.5044735030970406,0.4955264969029594
Charizard Pidgeot,426,4.08,48.42,982,971,75,2028,0.47879684418145957,0.03698224852071006,0.5028161802355351,0.4971838197644649
Roaring Moon,78,0.75,49.86,174,173,2,349,0.49570200573065903,0.0057306590257879654,0.5014409221902018,0.49855907780979825
Dragapult,702,6.72,48.59,1549,1546,93,3188,0.4849435382685069,0.02917189460476788,0.5004846526655896,0.49951534733441033
Palafin LZ Box,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Steelix Dodrio,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Raging Bolt Sandy Shocks,1,0.01,50.0,1,1,0,2,0.5,0.0,0.5,0.5
Espathra,5,0.05,50.0,14,14,0,28,0.5,0.0,0.5,0.5
Spidops Venomoth,3,0.03,50.0,4,4,0,8,0.5,0.0,0.5,0.5
Iron Valiant,1,0.01,50.0,2,2,0,4,0.5,0.0,0.5,0.5
Arceus Armarouge,41,0.39,48.59,86,87,4,177,0.4915254237288136,0.022598870056497175,0.49710982658959535,0.5028901734104047
Miraidon,326,3.12,48.78,700,711,24,1435,0.49547038327526133,0.016724738675958188,0.4961020552799433,0.5038979447200567
Arceus Aerodactyl,14,0.13,47.89,34,35,2,71,0.49295774647887325,0.028169014084507043,0.4927536231884058,0.5072463768115942
Pidgeot Control,205,1.96,46.5,399,420,39,858,0.48951048951048953,0.045454545454545456,0.48717948717948717,0.5128205128205128
Ogerpon,21,0.2,47.83,44,47,1,92,0.5108695652173914,0.010869565217391304,0.4835164835164835,0.5164835164835165
Gouging Fire,51,0.49,47.4,91,99,2,192,0.515625,0.010416666666666666,0.4789473684210526,0.5210526315789473
Sinistcha Ogerpon,51,0.49,46.82,103,115,2,220,0.5227272727272727,0.00909090909090909,0.4724770642201835,0.5275229357798165
Luxray,37,0.35,46.39,77,86,3,166,0.5180722891566265,0.018072289156626505,0.4723926380368098,0.5276073619631901
Dialga Metang,153,1.46,46.45,321,360,10,691,0.5209840810419681,0.01447178002894356,0.4713656387665198,0.5286343612334802
Giratina,3,0.03,47.06,8,9,0,17,0.5294117647058824,0.0,0.47058823529411764,0.5294117647058824
Klawf Electrode,10,0.1,44.68,21,24,2,47,0.5106382978723404,0.0425531914893617,0.4666666666666667,0.5333333333333333
Chien-Pao Baxcalibur,279,2.67,45.51,568,657,23,1248,0.5264423076923077,0.01842948717948718,0.4636734693877551,0.5363265306122449
Turbo Roaring Moon,55,0.53,45.37,103,122,2,227,0.5374449339207048,0.00881057268722467,0.4577777777777778,0.5422222222222223
Raging Bolt LZ Box,12,0.11,43.1,25,30,3,58,0.5172413793103449,0.05172413793103448,0.45454545454545453,0.5454545454545454
Future Hands,166,1.59,44.49,327,397,11,735,0.5401360544217687,0.014965986394557823,0.4516574585635359,0.5483425414364641
Conkeldurr,9,0.09,44.9,22,27,0,49,0.5510204081632653,0.0,0.4489795918367347,0.5510204081632653
Palkia,25,0.24,44.33,43,53,1,97,0.5463917525773195,0.010309278350515464,0.4479166666666667,0.5520833333333334
Greninja,229,2.19,43.57,413,522,13,948,0.5506329113924051,0.013713080168776372,0.44171122994652406,0.558288770053476
Great Tusk Mill,52,0.5,42.11,88,113,8,209,0.5406698564593302,0.03827751196172249,0.43781094527363185,0.5621890547263682
Lunatone Solrock,5,0.05,35.0,7,9,4,20,0.45,0.2,0.4375,0.5625
Arceus Regidrago,10,0.1,43.59,17,22,0,39,0.5641025641025641,0.0,0.4358974358974359,0.5641025641025641
Arceus,33,0.32,42.19,54,70,4,128,0.546875,0.03125,0.43548387096774194,0.5645161290322581
Garchomp,8,0.08,40.0,10,13,2,25,0.52,0.08,0.43478260869565216,0.5652173913043478
Iron Valiant Xatu,1,0.01,42.86,3,4,0,7,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
Roaring Moon Dudunsparce,35,0.34,42.45,59,79,1,139,0.5683453237410072,0.007194244604316547,0.427536231884058,0.572463768115942
Miraidon Regieleki,31,0.3,41.73,58,78,3,139,0.5611510791366906,0.02158273381294964,0.4264705882352941,0.5735294117647058
Other,557,5.33,41.46,917,1235,60,2212,0.5583182640144665,0.027124773960216998,0.42611524163568776,0.5738847583643123
Blissey,140,1.34,40.7,234,322,19,575,0.56,0.03304347826086956,0.420863309352518,0.579136690647482
Clefairy,3,0.03,41.67,5,7,0,12,0.5833333333333334,0.0,0.4166666666666667,0.5833333333333334
Charizard,40,0.38,39.62,63,93,3,159,0.5849056603773585,0.018867924528301886,0.40384615384615385,0.5961538461538461
Torterra,1,0.01,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Torterra,4,0.04,37.5,6,9,1,16,0.5625,0.0625,0.4,0.6
Feraligatr,2,0.02,40.0,4,6,0,10,0.6,0.0,0.4,0.6
Koraidon,2,0.02,40.0,4,6,0,10,0.6,0.0,0.4,0.6
Leafeon,1,0.01,40.0,2,3,0,5,0.6,0.0,0.4,0.6
Hisuian Zoroark,22,0.21,38.16,29,45,2,76,0.5921052631578947,0.02631578947368421,0.3918918918918919,0.6081081081081081
Espathra Xatu,26,0.25,37.08,33,52,4,89,0.5842696629213483,0.0449438202247191,0.38823529411764707,0.611764705882353
Blastoise,9,0.09,37.93,11,18,0,29,0.6206896551724138,0.0,0.3793103448275862,0.6206896551724138
Dipplin,96,0.92,36.64,144,242,7,393,0.6157760814249363,0.017811704834605598,0.37305699481865284,0.6269430051813472
Rotom,21,0.2,37.18,29,49,0,78,0.6282051282051282,0.0,0.3717948717948718,0.6282051282051282
Gengar,11,0.11,34.04,16,28,3,47,0.5957446808510638,0.06382978723404255,0.36363636363636365,0.6363636363636364
Scovillain,11,0.11,35.29,18,32,1,51,0.6274509803921569,0.0196078431372549,0.36,0.64
Aegislash,5,0.05,35.71,5,9,0,14,0.6428571428571429,0.0,0.35714285714285715,0.6428571428571429
